case_id,financebench_id,generator,variant,human_original,human_revised,revised,judge_nemo_12b,judge_claude,judge_gemini,declared_contaminated
0,financebench_id_00603,gemma3,docling,correct,correct,,correct,correct,correct,
1,financebench_id_00711,gemma3,reference,correct,correct,,correct,correct,correct,
2,financebench_id_01279,gemma4,pdfplumber,correct,correct,,correct,correct,correct,
3,financebench_id_00499,qwen32b,docling,incorrect,incorrect,,incorrect,incorrect,incorrect,
4,financebench_id_01981,gemma4,reference,correct,correct,,correct,correct,correct,
5,financebench_id_01981,gemma3,docling,correct,correct,,correct,correct,correct,
6,financebench_id_00494,qwen32b,pdftotext,correct,correct,,correct,correct,correct,
7,financebench_id_01928,qwen32b,pdftotext,correct,correct,,correct,correct,correct,
8,financebench_id_00080,qwen32b,docling,correct,correct,,correct,correct,correct,
9,financebench_id_02049,qwen32b,pdftotext,correct,correct,,correct,correct,correct,
10,financebench_id_02419,gemma3,reference,correct,correct,,correct,correct,correct,
11,financebench_id_00711,qwen32b,pdftotext,correct,correct,,correct,correct,correct,
12,financebench_id_02049,gemma4,reference,correct,correct,,correct,correct,correct,
13,financebench_id_00669,gemma3,reference,correct,correct,,correct,correct,correct,
14,financebench_id_00822,gemma3,pdftotext,correct,correct,,correct,correct,correct,
15,financebench_id_02024,gemma3,reference,correct,correct,,correct,correct,correct,
16,financebench_id_00606,qwen32b,reference,correct,unclear,yes,incorrect,unclear,incorrect,
17,financebench_id_01490,gemma3,pdfplumber,correct,correct,,unclear,correct,correct,
18,financebench_id_01028,qwen32b,pdftotext,correct,correct,,correct,correct,correct,
19,financebench_id_00606,gemma4,pdfplumber,correct,unclear,yes,incorrect,incorrect,incorrect,
20,financebench_id_01226,gemma4,reference,correct,correct,,correct,correct,correct,
21,financebench_id_00517,qwen32b,reference,correct,correct,,correct,correct,correct,
22,financebench_id_01107,gemma3,pdftotext,correct,correct,,correct,correct,correct,
23,financebench_id_00566,qwen32b,docling,correct,correct,,correct,correct,correct,
24,financebench_id_00720,qwen32b,pdfplumber,correct,correct,,incorrect,correct,correct,
25,financebench_id_00476,gemma4,pdftotext,correct,correct,,correct,correct,correct,
26,financebench_id_01865,gemma4,reference,correct,correct,,correct,correct,correct,
27,financebench_id_01079,gemma3,pdftotext,correct,correct,,incorrect,correct,correct,
28,financebench_id_00882,qwen32b,reference,correct,correct,,correct,correct,correct,
