id,type,source,question,ideal_answer,generated_answer,retrieved_context,retrieval_method,latency_s,prompt_tokens,completion_tokens,tokens_used,embedding_model,llm_model,cost_per_query_usd,gpu_hourly_rate_usd,equivalent_api_cost_usd
Q001,deterministic,api_facts,How many requests per minute can a Pro plan make?,"1,000 requests per minute",A Pro plan can make 1000 requests per minute.,"[""{\""plan\"": \""pro\"", \""limit\"": 1000, \""window\"": \""minute\""}""]",router_lookup,0.412,89,15,104,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,8.575e-05,0.7493,0.0001906
Q002,deterministic,api_facts,What is the rate limit for Free plan users per day?,"1,000 requests per day",The rate limit for Free plan users per day is 1000.,"[""{\""plan\"": \""free\"", \""limit\"": 1000, \""window\"": \""day\""}""]",router_lookup,0.41,90,17,107,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,8.534e-05,0.7493,0.0002008
Q003,deterministic,api_facts,How many webhook endpoints can a Starter plan configure?,10 webhook endpoints,A Starter plan can configure 10 webhook endpoints.,"[""{\""plan\"": \""starter\"", \""limit\"": 10}""]",router_lookup,0.296,80,12,92,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,6.161e-05,0.7493,0.0001648
Q004,deterministic,api_facts,What is the burst limit for the Enterprise plan?,"20,000 requests in a 10-second burst window",The burst limit for the Enterprise plan is 20000.,"[""{\""plan\"": \""enterprise\"", \""limit\"": 20000, \""window\"": \""10s\""}""]",router_lookup,0.387,91,16,107,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,8.055e-05,0.7493,0.0001978
Q005,deterministic,api_facts,How many refunds can I create per payment?,Maximum 5 refunds per payment,You can create up to 5 refunds per payment.,"[""{\""unit\"": \""refunds_per_payment\"", \""limit\"": 5}""]",router_lookup,0.299,81,12,93,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,6.223e-05,0.7493,0.0001662
Q006,deterministic,api_facts,Within how many days must a refund be created after the original payment?,180 days,180 days,"[""{\""unit\"": \""days\"", \""limit\"": 180}""]",router_lookup,0.14,85,5,90,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,2.914e-05,0.7493,0.000141
Q007,deterministic,api_facts,What is the minimum amount for a partial refund?,50 cents,"The minimum amount for a partial refund cannot be determined solely from the given context. The context provides a unit (cents) and a limit (50), but it does not specify whether this limit represents the minimum or maximum amount for a partial refund.","[""{\""unit\"": \""cents\"", \""limit\"": 50}""]",router_lookup,1.173,80,51,131,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.00024415,0.7493,0.0003364
Q008,deterministic,api_facts,How long is the capture window for an authorized payment?,7 days,The capture window for an authorized payment is 7 days.,"[""{\""unit\"": \""days\"", \""limit\"": 7}""]",router_lookup,0.319,80,13,93,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,6.64e-05,0.7493,0.0001692
Q009,deterministic,api_facts,What currencies does NexusPay support?,"EUR, USD, GBP, CHF, SEK, NOK, DKK","Based solely on the provided context, NexusPay supports the following currencies: EUR, USD, GBP, CHF, SEK, NOK, DKK. However, it's important to note that the context does not explicitly mention NexusPay; it simply lists these currencies without specifying any particular service or institution they are associated with.","[""{\""currencies\"": [\""EUR\"", \""USD\"", \""GBP\"", \""CHF\"", \""SEK\"", \""NOK\"", \""DKK\""]}""]",router_lookup,1.534,94,67,161,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.00031929,0.7493,0.0004264
Q010,deterministic,api_facts,What is the maximum number of metadata keys allowed per payment?,"50 key-value pairs, with keys up to 40 characters",The maximum number of metadata keys allowed per payment is 50.,"[""{\""max_keys\"": 50, \""max_key_length\"": 40}""]",router_lookup,0.364,86,15,101,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,7.576e-05,0.7493,0.0001864
