id,type,source,question,ideal_answer,generated_answer,retrieved_context,retrieval_method,latency_s,prompt_tokens,completion_tokens,tokens_used,embedding_model,llm_model,cost_per_query_usd,gpu_hourly_rate_usd,equivalent_api_cost_usd
Q001,deterministic,api_facts,How many requests per minute can a Pro plan make?,"1,000 requests per minute",1000,"[""{\""plan\"": \""pro\"", \""limit\"": 1000, \""window\"": \""minute\""}""]",router_lookup,0.814,75,5,80,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00016943,0.7493,0.000127
Q002,deterministic,api_facts,What is the rate limit for Free plan users per day?,"1,000 requests per day",1000,"[""{\""plan\"": \""free\"", \""limit\"": 1000, \""window\"": \""day\""}""]",router_lookup,0.144,76,5,81,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,2.997e-05,0.7493,0.0001284
Q003,deterministic,api_facts,How many webhook endpoints can a Starter plan configure?,10 webhook endpoints,10,"[""{\""plan\"": \""starter\"", \""limit\"": 10}""]",router_lookup,0.105,66,3,69,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,2.185e-05,0.7493,0.0001056
Q004,deterministic,api_facts,What is the burst limit for the Enterprise plan?,"20,000 requests in a 10-second burst window",20000,"[""{\""plan\"": \""enterprise\"", \""limit\"": 20000, \""window\"": \""10s\""}""]",router_lookup,0.17,77,6,83,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,3.538e-05,0.7493,0.0001342
Q005,deterministic,api_facts,How many refunds can I create per payment?,Maximum 5 refunds per payment,You can create up to 5 refunds per payment.,"[""{\""unit\"": \""refunds_per_payment\"", \""limit\"": 5}""]",router_lookup,0.303,69,12,81,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,6.307e-05,0.7493,0.0001494
Q006,deterministic,api_facts,Within how many days must a refund be created after the original payment?,180 days,180 days.,"[""{\""unit\"": \""days\"", \""limit\"": 180}""]",router_lookup,0.172,71,6,77,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,3.58e-05,0.7493,0.0001258
Q007,deterministic,api_facts,What is the minimum amount for a partial refund?,50 cents,50 cents.,"[""{\""unit\"": \""cents\"", \""limit\"": 50}""]",router_lookup,0.149,66,5,71,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,3.101e-05,0.7493,0.0001144
Q008,deterministic,api_facts,How long is the capture window for an authorized payment?,7 days,7 days.,"[""{\""unit\"": \""days\"", \""limit\"": 7}""]",router_lookup,0.127,66,4,70,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,2.643e-05,0.7493,0.00011
Q009,deterministic,api_facts,What currencies does NexusPay support?,"EUR, USD, GBP, CHF, SEK, NOK, DKK","EUR, USD, GBP, CHF, SEK, NOK, DKK","[""{\""currencies\"": [\""EUR\"", \""USD\"", \""GBP\"", \""CHF\"", \""SEK\"", \""NOK\"", \""DKK\""]}""]",router_lookup,0.371,77,15,92,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,7.722e-05,0.7493,0.0001738
Q010,deterministic,api_facts,What is the maximum number of metadata keys allowed per payment?,"50 key-value pairs, with keys up to 40 characters",50,"[""{\""max_keys\"": 50, \""max_key_length\"": 40}""]",router_lookup,0.106,75,3,78,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,2.206e-05,0.7493,0.0001182
