id,type,source,question,ideal_answer,generated_answer,retrieved_context,latency_s,prompt_tokens,completion_tokens,tokens_used,embedding_model,llm_model,cost_per_query_usd,gpu_hourly_rate_usd,equivalent_api_cost_usd
Q001,deterministic,guides/subscriptions_guide.md; reference/rate_limits.md,How many requests per minute can a Pro plan make?,"1,000 requests per minute","According to context [1], a Pro plan can make 1,000 requests/minute. However, context [2] states that a single IP address is limited to 5,000 requests/minute across all API keys. Therefore, the answer is 1,000 requests/minute, but limited to 5,000 requests/minute per IP address.","[""| Plan       | Requests/min | Requests/day | Concurrent connections | Webhook endpoints |\n|------------|-------------|--------------|----------------------|-------------------|\n| Free       | 60          | 1,000        | 5                    | 2                 |\n| Starter    | 300         | 10,000       | 20                   | 10                |\n| Pro        | 1,000       | 100,000      | 50                   | 50                |\n| Enterprise | 10,000      | Unlimited    | 500                  | Unlimited         |"", ""Regardless of plan, a single IP address is limited to 5,000 requests/minute across all API keys. This limit cannot be increased."", ""**Response:**\n```json\n{\n  \""id\"": \""plan_01HXYZ2222222222\"",\n  \""name\"": \""Pro Monthly\"",\n  \""amount\"": 2900,\n  \""currency\"": \""EUR\"",\n  \""interval\"": \""month\"",\n  \""interval_count\"": 1,\n  \""created_at\"": \""2025-06-01T00:00:00Z\""\n}\n```"", ""{\n  \""name\"": \""Pro Monthly\"",\n  \""amount\"": 2900,\n  \""currency\"": \""EUR\"",\n  \""interval\"": \""month\"",\n  \""interval_count\"": 1,\n  \""description\"": \""NexusApp Pro plan — billed monthly\""\n}\n```"", ""| Plan       | Burst limit | Burst window |\n|------------|-------------|--------------|\n| Free       | 120 req     | 10s          |\n| Starter    | 600 req     | 10s          |\n| Pro        | 2,000 req   | 10s          |\n| Enterprise | 20,000 req  | 10s          |""]",2.041,569,82,651,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00039493,0.6966,0.0
Q002,deterministic,reference/endpoints.md; reference/rate_limits.md,What is the rate limit for Free plan users per day?,"1,000 requests per day","According to context [1], the rate limit for Free plan users per day is 1,000 requests.","[""| Plan       | Requests/min | Requests/day | Concurrent connections | Webhook endpoints |\n|------------|-------------|--------------|----------------------|-------------------|\n| Free       | 60          | 1,000        | 5                    | 2                 |\n| Starter    | 300         | 10,000       | 20                   | 10                |\n| Pro        | 1,000       | 100,000      | 50                   | 50                |\n| Enterprise | 10,000      | Unlimited    | 500                  | Unlimited         |"", ""| Parameter    | Type   | Required | Description                                         |\n|--------------|--------|----------|-----------------------------------------------------|\n| customer_id  | string | Yes      | Customer to bill                                    |\n| plan_id      | string | Yes      | Subscription plan ID                                |\n| trial_days   | integer| No       | Free trial period. Max: 90 days                     |\n| billing_cycle| string | No       | `monthly` or `yearly`. Default: `monthly`           |"", ""| Plan       | Burst limit | Burst window |\n|------------|-------------|--------------|\n| Free       | 120 req     | 10s          |\n| Starter    | 600 req     | 10s          |\n| Pro        | 2,000 req   | 10s          |\n| Enterprise | 20,000 req  | 10s          |"", ""NexusPay API enforces rate limits per API key, per plan. Limits reset every 60 seconds (rolling window)."", ""Each plan has a burst allowance of 2× the per-minute limit for up to 10 seconds. After the burst window, the standard limit applies.""]",0.676,529,25,554,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00013081,0.6966,0.0
Q003,deterministic,guides/testing_guide.md; guides/webhooks_guide.md; reference/rate_limits.md,How many webhook endpoints can a Starter plan configure?,10 webhook endpoints,"According to source [2], a Starter plan can configure **10** webhook endpoints.","[""Webhook endpoint URLs have a maximum length of **2048 characters**. Register your endpoint in the Dashboard under **Developers → Webhooks**, or via the API:"", ""| Plan       | Requests/min | Requests/day | Concurrent connections | Webhook endpoints |\n|------------|-------------|--------------|----------------------|-------------------|\n| Free       | 60          | 1,000        | 5                    | 2                 |\n| Starter    | 300         | 10,000       | 20                   | 10                |\n| Pro        | 1,000       | 100,000      | 50                   | 50                |\n| Enterprise | 10,000      | Unlimited    | 500                  | Unlimited         |"", ""Webhook events are fired in the sandbox exactly as in production. Configure your webhook endpoint in the Dashboard under **Developers → Webhooks** and point it to your sandbox endpoint."", ""Two headers are included with every webhook request:"", ""Regardless of plan, a single IP address is limited to 5,000 requests/minute across all API keys. This limit cannot be increased.""]",0.541,377,19,396,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00010468,0.6966,0.0
Q004,deterministic,guides/pagination_advanced.md; reference/rate_limits.md; guides/error_handling_guide.md,What is the burst limit for the Enterprise plan?,"20,000 requests in a 10-second burst window","According to [2], the burst limit for the Enterprise plan is 20,000 req.","[""Each plan has a burst allowance of 2× the per-minute limit for up to 10 seconds. After the burst window, the standard limit applies."", ""| Plan       | Burst limit | Burst window |\n|------------|-------------|--------------|\n| Free       | 120 req     | 10s          |\n| Starter    | 600 req     | 10s          |\n| Pro        | 2,000 req   | 10s          |\n| Enterprise | 20,000 req  | 10s          |"", ""**Always honour the `retry_after` value.** Do not retry before this interval. For sustained high-throughput workloads, refer to `docs/reference/rate_limits.md` for rate limit tiers and burst allowances."", ""| Plan       | Requests/min | Requests/day | Concurrent connections | Webhook endpoints |\n|------------|-------------|--------------|----------------------|-------------------|\n| Free       | 60          | 1,000        | 5                    | 2                 |\n| Starter    | 300         | 10,000       | 20                   | 10                |\n| Pro        | 1,000       | 100,000      | 50                   | 50                |\n| Enterprise | 10,000      | Unlimited    | 500                  | Unlimited         |"", ""For rate limit tiers and burst window details, refer to `docs/reference/rate_limits.md`.""]",0.646,465,23,488,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.000125,0.6966,0.0
Q005,deterministic,reference/endpoints.md; guides/refunds_guide.md,How many refunds can I create per payment?,Maximum 5 refunds per payment,"You can create a maximum of **5** refunds per payment. (Source: [1], [2], [5])","[""**Constraints:**\n- Refunds must be created within **180 days** of the original payment.\n- Maximum **5 refunds** per payment.\n- Partial refunds: minimum amount is **50 cents**."", ""```json\n{\n  \""error\"": {\n    \""code\"": \""max_refunds_exceeded\"",\n    \""message\"": \""A maximum of 5 refunds may be issued per payment.\""\n  }\n}\n```"", ""### POST /refunds\nCreate a refund for a succeeded payment."", ""To work around this limit, consolidate refund amounts and issue fewer, larger refunds where possible."", ""| Constraint | Value |\n|------------|-------|\n| Maximum refund window | **180 days** from the original payment |\n| Maximum refunds per payment | **5** |\n| Minimum partial refund amount | **50 cents** (in the payment's currency) |""]",0.674,305,26,331,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00013042,0.6966,0.0
Q006,deterministic,reference/endpoints.md; guides/refunds_guide.md,Within how many days must a refund be created after the original payment?,180 days,"Within **180 days** of the original payment. (Source: [1], [4])","[""**Constraints:**\n- Refunds must be created within **180 days** of the original payment.\n- Maximum **5 refunds** per payment.\n- Partial refunds: minimum amount is **50 cents**."", ""Returned when the refund is attempted more than **180 days** after the original payment:"", ""A refund returns some or all of a captured payment's funds to the customer. Refunds are processed asynchronously — after the API call returns a `refund` object with `status: pending`, the funds typically settle within 5–10 business days depending on the customer's bank and card network."", ""| Constraint | Value |\n|------------|-------|\n| Maximum refund window | **180 days** from the original payment |\n| Maximum refunds per payment | **5** |\n| Minimum partial refund amount | **50 cents** (in the payment's currency) |"", ""```json\n{\n  \""error\"": {\n    \""code\"": \""refund_window_expired\"",\n    \""message\"": \""Refunds must be issued within 180 days of the original payment.\""\n  }\n}\n```""]",0.57,363,22,385,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00011029,0.6966,0.0
Q007,deterministic,reference/endpoints.md; guides/refunds_guide.md,What is the minimum amount for a partial refund?,50 cents,50 cents. (in the payment's currency),"[""Returned when a partial refund amount is below **50 cents**:"", ""```json\n{\n  \""error\"": {\n    \""code\"": \""amount_too_small\"",\n    \""message\"": \""Partial refund amount must be at least 50 cents.\""\n  }\n}\n```"", ""**Constraints:**\n- Refunds must be created within **180 days** of the original payment.\n- Maximum **5 refunds** per payment.\n- Partial refunds: minimum amount is **50 cents**."", ""| Constraint | Value |\n|------------|-------|\n| Maximum refund window | **180 days** from the original payment |\n| Maximum refunds per payment | **5** |\n| Minimum partial refund amount | **50 cents** (in the payment's currency) |"", ""To refund a specific amount, provide the `amount` in the smallest currency unit (cents):""]",0.382,307,13,320,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,7.392e-05,0.6966,0.0
Q008,deterministic,reference/endpoints.md; guides/going_live_checklist.md; guides/auth_capture_flow.md; reference/architecture_overview.md,How long is the capture window for an authorized payment?,7 days,"According to the provided context, the capture window for an authorized payment is **7 days**. This information appears in sources [1], [2], [3], and [5]. After 7 days, the authorization expires automatically ([1], [3]) and you cannot capture an expired authorization ([3], [4]).","[""**Separation of authorization and capture.** By default, `POST /payments` both authorizes and captures in a single step. For marketplaces and delayed fulfillment, set `capture: false` to authorize only. The authorization holds funds on the customer's card for up to 7 days. After that, the authorization expires automatically."", ""### POST /payments/:id/capture\nCapture an authorized payment. Only valid if `capture: false` was set on creation. Must be called within **7 days** of authorization."", ""The `capture_before` timestamp indicates the deadline by which you must capture. Authorizations expire after **7 days**. After expiry, the hold is automatically released and the funds return to the customer — you cannot capture an expired authorization."", ""| Error code | Cause | Resolution |\n|------------|-------|------------|\n| `authorization_expired` | Attempted capture after the 7-day window | Create a new authorization |\n| `authorization_already_captured` | Payment already captured | No action needed; check payment status |\n| `invalid_capture_amount` | Capture amount exceeds authorized amount | Capture equal to or less than the original amount |"", ""- [ ] **Refund constraints communicated to operations team**: Customer-facing support staff understand the 180-day refund window and 5-refund-per-payment limit.\n- [ ] **Authorization captures scheduled**: If using auth-only payments, a mechanism is in place to capture within the **7-day** window. Expired authorizations cannot be recovered.""]",1.598,442,65,507,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00030921,0.6966,0.0
Q009,deterministic,guides/integration_quickstart.md; guides/multi_currency_guide.md,What currencies does NexusPay support?,"EUR, USD, GBP, CHF, SEK, NOK, DKK",NexusPay supports accepting payments in multiple currencies across the European market and beyond. (source: guides/multi_currency_guide.md),"[""NexusPay supports accepting payments in multiple currencies across the European market and beyond. This guide explains which currencies are supported, how amounts are handled, and how settlement works."", ""If you charge customers in multiple currencies but your settlement currency is `EUR`, NexusPay converts foreign currency receipts to EUR at the time of settlement using the applicable interbank exchange rate, minus any applicable FX conversion fee. Refer to your merchant agreement for the exact fee schedule."", ""**NexusPay does not perform currency conversion.** The `currency` field you specify in the payment request is the currency in which the customer is charged. NexusPay passes this charge to the card network exactly as submitted."", ""```javascript\nimport NexusPay from \""@nexuspay/sdk\"";"", ""Your settlement currency is the currency in which NexusPay pays out your earnings to your bank account. It is configured at the account level in the Dashboard under **Settings → Payouts**.""]",0.744,308,29,337,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00014396,0.6966,0.0
Q010,deterministic,reference/endpoints.md; guides/metadata_guide.md; guides/customers_guide.md,What is the maximum number of metadata keys allowed per payment?,"50 key-value pairs, with keys up to 40 characters","According to context [1], [2], [3], [4], and [5], the maximum number of metadata keys allowed per payment is **50**.","[""| Field | Purpose | Constraints | Visibility |\n|-------|---------|-------------|------------|\n| `metadata` | Machine-readable key-value pairs for internal use | 50 keys, 40-char keys | Not shown to customers |\n| `description` | Human-readable summary of the payment | Max **255 characters**, single string | May appear on bank statements |"", ""For metadata best practices and constraints (50 key limit, 40-character key limit), see `docs/guides/metadata_guide.md`. Use customer metadata to store your internal identifiers, not sensitive data."", ""| Parameter     | Type    | Required | Description                                      |\n|---------------|---------|----------|--------------------------------------------------|\n| amount        | integer | Yes      | Amount in cents (e.g. 1000 = €10.00)            |\n| currency      | string  | Yes      | ISO 4217 code. Supported: EUR, USD, GBP, CHF, SEK, NOK, DKK |\n| source        | string  | Yes      | Payment method token or card ID                  |\n| description   | string  | No       | Max 255 characters                               |\n| metadata      | object  | No       | Max 50 key-value pairs, keys max 40 chars        |\n| capture       | boolean | No       | Default: true. Set false for auth-only           |\n| idempotency_key | string | No     | Max 64 characters. Ensures deduplication         |"", ""| Parameter | Type   | Required | Description         |\n|-----------|--------|----------|---------------------|\n| email     | string | Yes      | Must be unique      |\n| name      | string | No       | Max 200 characters  |\n| metadata  | object | No       | Max 50 key-value pairs |"", ""- Do not store sensitive data in metadata: no card numbers, passwords, SSNs, or authentication tokens.\n- Metadata is visible to anyone with access to your NexusPay Dashboard and to any system that calls the API with your secret key. Apply the same access controls you would to any business data.\n- Metadata is not end-to-end encrypted beyond NexusPay's standard data-at-rest encryption. Do not rely on it for data classification purposes.""]",0.981,623,34,657,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00018982,0.6966,0.0
