user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
How many requests per minute can a Pro plan make?,"['{""plan"": ""pro"", ""limit"": 1000, ""window"": ""minute""}']",A Pro plan can make 1000 requests per minute.,"1,000 requests per minute",1.0,0.9499672974144768,0.9999999999,1.0
What is the rate limit for Free plan users per day?,"['{""plan"": ""free"", ""limit"": 1000, ""window"": ""day""}']",The rate limit for Free plan users is 1000 per day.,"1,000 requests per day",1.0,1.0000000000000002,0.9999999999,1.0
How many webhook endpoints can a Starter plan configure?,"['{""plan"": ""starter"", ""limit"": 10}']",A Starter plan can configure 10 webhook endpoints.,10 webhook endpoints,1.0,0.9955717821950878,0.9999999999,1.0
What is the burst limit for the Enterprise plan?,"['{""plan"": ""enterprise"", ""limit"": 20000, ""window"": ""10s""}']",20000,"20,000 requests in a 10-second burst window",1.0,0.3572990431733998,0.9999999999,1.0
How many refunds can I create per payment?,"['{""unit"": ""refunds_per_payment"", ""limit"": 5}']",You can create 5 refunds per payment.,Maximum 5 refunds per payment,1.0,0.9523116021090762,0.9999999999,1.0
Within how many days must a refund be created after the original payment?,"['{""unit"": ""days"", ""limit"": 180}']",180 days,180 days,1.0,0.5249588094985664,0.9999999999,1.0
What is the minimum amount for a partial refund?,"['{""unit"": ""cents"", ""limit"": 50}']",The provided text does not contain information regarding the minimum amount for a partial refund.,50 cents,0.0,0.0,0.9999999999,1.0
How long is the capture window for an authorized payment?,"['{""unit"": ""days"", ""limit"": 7}']",The capture window for an authorized payment is 7 days.,7 days,1.0,0.9209644362963749,0.9999999999,1.0
What currencies does NexusPay support?,"['{""currencies"": [""EUR"", ""USD"", ""GBP"", ""CHF"", ""SEK"", ""NOK"", ""DKK""]}']",The provided text does not mention NexusPay.,"EUR, USD, GBP, CHF, SEK, NOK, DKK",1.0,0.7924270148967831,0.9999999999,1.0
What is the maximum number of metadata keys allowed per payment?,"['{""max_keys"": 50, ""max_key_length"": 40}']",50,"50 key-value pairs, with keys up to 40 characters",1.0,0.46842214164685136,0.9999999999,1.0
What is the maximum trial period for a subscription?,"['{""unit"": ""days"", ""limit"": 90}']",The maximum trial period for a subscription is 90 days.,90 days,1.0,0.9595223024691674,0.9999999999,1.0
What HTTP status code does the API return when the rate limit is exceeded?,"['{""code"": ""rate_limit_exceeded"", ""http_status"": 429}']",429,HTTP 429,1.0,0.37836282263990917,0.9999999999,1.0
What error code is returned when an API key has been revoked?,"['{""code"": ""revoked_api_key"", ""http_status"": 401}']",revoked_api_key,revoked_api_key,1.0,0.0,0.9999999999,1.0
What error code is returned when a refund exceeds the 180-day window?,"['{""code"": ""refund_window_expired"", ""http_status"": 422}']",The provided text does not contain information regarding a 180-day window.,refund_window_expired,0.0,0.6740541674938848,0.9999999999,1.0
What is the current API version?,"['{""version"": ""v2"", ""released"": ""2025-01-15""}']",v2,"v2, released on 2025-01-15",1.0,0.0,0.9999999999,1.0
When will API v1 be sunset?,"['{""sunset"": ""2026-01-15"", ""version"": ""v1"", ""deprecated"": ""2025-07-01""}']",2026-01-15,2026-01-15,1.0,0.4054684740164056,0.9999999999,1.0
What is the maximum page size when listing payments?,"['{""max"": 100, ""default"": 10}']",100,100 items per page,1.0,0.4704435337856104,0.9999999999,1.0
How many times does NexusPay retry a failed webhook delivery?,"['{""backoff"": [""1min"", ""5min"", ""30min"", ""2h"", ""8h""], ""retries"": 5}']",The provided text does not mention NexusPay.,"Up to 5 times with exponential backoff: 1min, 5min, 30min, 2h, 8h",0.5,0.6185299766193322,0.9999999999,1.0
What is the IP-level rate limit regardless of plan?,"['{""limit"": 5000, ""scope"": ""ip"", ""window"": ""minute""}']",5000 per minute,"5,000 requests per minute per IP address",1.0,0.5721867394141665,0.9999999999,1.0
How long do idempotency keys remain valid?,"['{""unit"": ""hours"", ""expiration"": 24}']",Idempotency keys remain valid for 24 hours.,24 hours,0.0,0.9866068614086653,0.9999999999,1.0
What is the maximum description length for a payment?,"['{""unit"": ""characters"", ""limit"": 255}']",The provided text does not contain information regarding the maximum description length for a payment.,255 characters,0.0,0.0,0.9999999999,1.0
How many concurrent connections does the Pro plan support?,"['{""plan"": ""pro"", ""limit"": 50}']",The provided text does not contain information regarding concurrent connections.,50 concurrent connections,1.0,0.63297760944503,0.9999999999,1.0
What HTTP status code is returned when a resource is not found?,"['{""code"": ""not_found"", ""http_status"": 404}']",404,HTTP 404,1.0,0.6261747792928226,0.9999999999,1.0
What is the maximum URL length for a webhook endpoint?,"['{""unit"": ""characters"", ""limit"": 2048}']",The provided text does not contain information regarding the maximum URL length for a webhook endpoint.,2048 characters,1.0,0.0,0.9999999999,1.0
What error code is returned when the capture window has expired?,"['{""code"": ""capture_window_expired"", ""http_status"": 422}']",capture_window_expired,capture_window_expired,1.0,0.0,0.9999999999,1.0
