user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What is the difference between a secret key and a publishable key?,"['- **Publishable key** — safe to embed in frontend code; used only to tokenize card data.\n- **Secret key** — must never leave your backend; used to create and manage payments.', '**Publishable keys** are limited to read operations and payment method tokenization. They are safe to embed in frontend JavaScript or mobile apps. A publishable key cannot create a payment directly — it can only create a payment method token, which your server then uses with the secret key.', '**Secret keys** have full API access: create payments, issue refunds, manage subscriptions, access reports. They must be stored securely on your server and never exposed to clients.', '- **Secret keys** (`sk_live_...` or `sk_test_...`): Full access. Never expose in client-side code or public repositories.\n- **Publishable keys** (`pk_live_...` or `pk_test_...`): Read-only, safe for frontend use. Can tokenize payment methods.', '| Key Type | Prefix | Where to use | Who can see it |\n|----------|--------|--------------|----------------|\n| Publishable key | `pk_live_` / `pk_test_` | Frontend (browser/app) | Visible to end users — safe by design |\n| Secret key | `sk_live_` / `sk_test_` | Backend only | **Must never be exposed** |']","The difference between a secret key and a publishable key lies in their usage and security requirements:

- **Publishable key**: This key is designed to be safely embedded in frontend code such as web browsers or mobile applications. It is limited to read operations and can be used to tokenize payment information, like credit card details, but it cannot create payments directly. The publishable key is visible to end users and is considered safe by design due to its restricted capabilities.

- **Secret key**: In contrast, the secret key has full access to the API, allowing actions such as creating payments, issuing refunds, managing subscriptions, and accessing reports. Due to its extensive permissions, the secret key must be kept secure on the server side and should never be exposed to clients or included in client-side code or public repositories.",Secret keys have full API access and must be stored server-side. Publishable keys are read-only and safe for frontend use — they can tokenize payment methods but cannot create payments directly.,1.0,0.735184681633141,0.99999999998,1.0
Why does NexusPay use cursor-based pagination instead of offset pagination?,"['All list endpoints in NexusPay use cursor-based pagination. This approach is more reliable than offset pagination for large datasets and real-time data.', 'NexusPay uses cursor-based pagination across all list endpoints. This guide covers patterns for fetching all records in a loop, terminating iteration correctly, staying within rate limits during bulk fetches, and running parallel paginated queries.', 'Offset pagination (`?page=2&per_page=10`) has a fundamental problem with real-time data: if a new payment is created between your first and second request, every item shifts by one position, causing duplicates or skipped items. Cursor pagination avoids this entirely.', 'This is particularly useful for support tooling and reconciliation scripts that need to look up a payment by your own internal reference rather than the NexusPay payment ID.', 'NexusPay performs real-time fraud scoring on all payment requests. You can supplement this with:']","NexusPay uses cursor-based pagination instead of offset pagination because it is more reliable, especially for large datasets and real-time data. Offset pagination can lead to issues where new entries added between requests cause items to shift, resulting in potential duplicates or skipped items. Cursor-based pagination avoids these problems, ensuring more accurate and consistent data retrieval.",Offset pagination has a problem with real-time data: new items shift positions causing duplicates or skipped items. Cursor pagination avoids this by tracking exact position.,1.0,0.8849636353990922,0.99999999998,1.0
How does the authorization and capture flow work?,"['To test authorization and capture flows, create a payment with `capture: false` using any success card. See `docs/guides/auth_capture_flow.md`.', ""**Separation of authorization and capture.** By default, `POST /payments` both authorizes and captures in a single step. For marketplaces and delayed fulfillment, set `capture: false` to authorize only. The authorization holds funds on the customer's card for up to 7 days. After that, the authorization expires automatically."", 'To verify that an authorization is still valid before capturing, retrieve the payment:', 'When you know the final amount, capture the authorization. You may capture the full authorized amount or a lesser amount — you cannot capture more than the original authorization.', ""An authorization places a hold on the customer's funds without immediately settling the charge. Use this flow when:""]","The authorization and capture flow works as follows:

1. **Authorization Step**: When creating a payment, if you set `capture: false`, the system will only authorize the transaction. This means it will place a hold on the customer's funds for up to 7 days without immediately settling the charge. This is useful for scenarios like marketplaces or delayed fulfillment where you might not want to capture the funds immediately after authorization.

2. **Verification Step**: Before capturing the funds, you can verify that the authorization is still valid by retrieving the payment details.

3. **Capture Step**: Once you're ready to capture the funds, you can do so for the full authorized amount or a lesser amount, but never more than what was originally authorized. This step completes the transaction by settling the charge.

This separation allows for flexibility in managing transactions, especially in situations where the final amount might not be known at the time of authorization or where there is a need to delay the settlement of charges.","By default, POST /payments authorizes and captures in one step. Setting capture: false authorizes only, holding funds for up to 7 days. You then call POST /payments/:id/capture to complete.",1.0,0.826334732308778,0.99999999998,0.6666666666666666
Can I rely on webhooks as the primary confirmation of a payment?,"['Webhooks allow NexusPay to push real-time event notifications to your server when something happens in your account — a payment succeeds, a subscription renews, a dispute is opened, and so on. This guide explains how to receive, verify, and handle webhook events reliably.', '**Eventual consistency for webhooks.** Webhook delivery is asynchronous. After a payment succeeds, the `payment.succeeded` event may arrive at your endpoint within milliseconds or up to 30 seconds later, depending on load. Never rely on webhooks as the primary source of truth — always confirm payment status via the API.', 'For most card payments, the `status` in the synchronous API response is definitive. However, for certain payment methods, the outcome may be delivered asynchronously via the `payment.succeeded` or `payment.failed` webhook event. Implement webhook handling as described in `docs/guides/webhooks_guide.md` to handle these cases.', 'Subscribe to the `refund.succeeded` and `refund.failed` webhook events to track settlement asynchronously. Refer to `docs/guides/webhooks_guide.md`.', '- Attackers can forge fake webhook events to trigger unintended actions (e.g., marking an order as paid without a real payment).\n- Replayed legitimate events can cause duplicate processing.']","No, you cannot rely on webhooks as the primary confirmation of a payment. According to the provided context, webhook delivery is asynchronous and the `payment.succeeded` event might arrive within milliseconds to up to 30 seconds after a payment occurs. Therefore, it is advised not to use webhooks as the primary source of truth for payment status. Always confirm the payment status via the API.",No. Webhook delivery is asynchronous and can be delayed up to 30 seconds. Always confirm payment status via the API directly.,1.0,0.6902910185912419,0.99999999998,1.0
How should I rotate API keys without downtime?,"['You can create multiple API keys per account and assign them different permission scopes. This allows you to rotate keys without downtime:', 'Rotate your secret key immediately if you suspect it has been compromised. In the Dashboard under **Developers → API Keys**, you can issue a new key. After issuing the new key:', '- Never commit API keys to version control. Use environment variables or a secrets manager.\n- Use the principle of least privilege — scope keys to the minimum required operations.\n- Rotate keys every 90 days in high-security environments.\n- Monitor API key usage in the dashboard — unexpected spikes may indicate a compromised key.\n- Use different keys for different environments (development, staging, production).', ""1. Update your application's environment variable or secrets manager entry.\n2. Deploy the updated configuration.\n3. Revoke the old key only after confirming the new key is serving production traffic successfully."", 'Always use an **idempotency key** on requests you intend to retry. This ensures that even if the original request succeeded and the response was lost in transit, retrying returns the original result rather than creating a duplicate. See `docs/guides/idempotency_guide.md`.']","To rotate API keys without causing downtime, follow these steps:

1. Generate a new API key through the Dashboard under **Developers → API Keys**.
2. Update your application's environment variable or secrets manager with the new key.
3. Deploy the updated configuration to ensure your application starts using the new key.
4. Confirm that the new key is working correctly and serving production traffic without issues.
5. Once you've verified that the new key is functioning properly, revoke the old key.

By following these steps, you can ensure a smooth transition from the old key to the new one without any service interruptions.","Create the new key, deploy the application with it, then revoke the old key. Revoking is immediate and irreversible.",1.0,0.956071395207861,0.999999999975,0.75
What happens if I submit the same idempotency key twice with different parameters?,"['**Idempotency first.** Every write operation accepts an `idempotency_key` parameter. If the same key is submitted twice, the second request returns the result of the first without creating a duplicate. This is critical for payment systems where network failures can cause retries.', 'Always use an **idempotency key** on requests you intend to retry. This ensures that even if the original request succeeded and the response was lost in transit, retrying returns the original result rather than creating a duplicate. See `docs/guides/idempotency_guide.md`.', '1. Generate the idempotency key **before** making the request.\n2. Store the key **before** sending the request (in case your process crashes mid-flight).\n3. Reuse the same key on every retry attempt for the same operation.\n4. Only generate a new key when you are intentionally starting a new operation.', 'If you submit an idempotency key that matches a previous request but with different parameters, the API returns HTTP 409 with error code `idempotency_key_mismatch`.', '- [ ] Successful payment creates and stores a payment ID correctly\n- [ ] Declined payment surfaces an appropriate error message to the user\n- [ ] Retry with the same idempotency key returns the original result (not a new payment)\n- [ ] Refund creates correctly and fires `refund.succeeded` webhook\n- [ ] Webhook signature verification rejects tampered payloads\n- [ ] Webhook timestamp check rejects events older than 5 minutes\n- [ ] Duplicate webhook delivery is handled idempotently']","If you submit the same idempotency key twice with different parameters, the API will return an HTTP 409 status code along with the error code `idempotency_key_mismatch`. This indicates that there is a conflict because the parameters do not match those of the initial request associated with that idempotency key.",The API returns HTTP 409 with error code idempotency_key_mismatch.,1.0,0.9543033949791997,0.999999999975,1.0
How do I paginate through all succeeded EUR payments from Q1 2025?,"['# Example: fetch all EUR payments in June\npayments = fetch_all_payments({\n    ""currency"": ""EUR"",\n    ""created_after"": ""2025-06-01T00:00:00Z"",\n    ""created_before"": ""2025-06-30T23:59:59Z"",\n    ""status"": ""succeeded""\n})\n```', '```\nGET /payments?status=succeeded&currency=EUR&from=2025-01-01&to=2025-03-31&limit=100\n```', '**Step 2 — Retrieve individual payments for the same period:**\n```\nGET /payments?created_after=2025-06-01T00:00:00Z&created_before=2025-06-30T23:59:59Z&currency=EUR&status=succeeded\n```', ""- [ ] Update base URL from `https://api.nexuspay.eu/v1` to `https://api.nexuspay.eu/v2`\n- [ ] Replace offset-based pagination with cursor-based pagination across all list calls\n- [ ] Ensure all `amount` fields are integers in the smallest currency unit\n- [ ] Test all flows in the sandbox with v2 endpoints before switching production traffic\n- [ ] Remove any code that reads `total_count` or `offset` from list responses (no longer present in v2)\n- [ ] Update SDK to a version that targets v2 (refer to your SDK's changelog)\n- [ ] Set a calendar reminder to complete migration before **2026-01-15**"", '### GET /payments\nList payments. Supports pagination via `limit` (max 100, default 10) and `starting_after`.']","To paginate through all succeeded EUR payments from Q1 2025, you can use the `/payments` endpoint with the appropriate query parameters. Given the context of moving towards API version 2 (`v2`), which uses cursor-based pagination, your request should look something like this:

```plaintext
GET https://api.nexuspay.eu/v2/payments?status=succeeded&currency=EUR&from=2025-01-01&to=2025-03-31&limit=100
```

For each request, you will receive a response that includes a cursor for the next page if there are more results. You should continue making requests using the `starting_after` parameter with the value of the last cursor received until no more cursors are returned, indicating that you have fetched all the results.

Here is an example of how you might structure the request with cursor-based pagination:

Initial Request:
```plaintext
GET https://api.nexuspay.eu/v2/payments?status=succeeded&currency=EUR&from=2025-01-01&to=2025-03-31&limit=100
```

Subsequent Requests (using the cursor for pagination):
```plaintext
GET https://api.nexuspay.eu/v2/payments?status=succeeded&currency=EUR&from=2025-01-01&to=2025-03-31&limit=100&starting_after=<cursor_value>
```

Replace `<cursor_value>` with the actual cursor value provided in the previous response. Continue this process until you no longer receive a cursor in the response, indicating that you have retrieved all the payments.","Use GET /payments with filters status=succeeded, currency=EUR, from=2025-01-01, to=2025-03-31, limit=100. Use the next_cursor from each response as starting_after until has_more is false.",1.0,0.8849404106181801,0.99999999998,1.0
What scopes are available for API keys on Pro and Enterprise plans?,"['On Pro and Enterprise plans, API keys can be scoped to specific operations:', 'Scoped keys are not available on Free or Starter plans — those plans only support full-access keys.', 'You can create multiple API keys per account and assign them different permission scopes. This allows you to rotate keys without downtime:', '**Secret keys** have full API access: create payments, issue refunds, manage subscriptions, access reports. They must be stored securely on your server and never exposed to clients.', 'Regardless of plan, a single IP address is limited to 5,000 requests/minute across all API keys. This limit cannot be increased.']","On Pro and Enterprise plans, API keys can be scoped to specific operations, allowing for more granular control over what actions the keys can perform.","payments:read, payments:write, refunds:write, subscriptions, reports:read, webhooks. Scoped keys are not available on Free or Starter plans.",1.0,0.8811864843135118,0.99999999998,1.0
How does NexusPay determine which environment a request goes to?,"['NexusPay is a payment processing API designed for European businesses. It handles the full payment lifecycle: authorization, capture, settlement, refunds, and recurring billing through subscriptions.', 'When an event occurs, NexusPay sends an HTTP POST request to the URL you have configured in the Dashboard or via the Webhooks API. Your endpoint must respond with an HTTP `200` status code within 10 seconds to acknowledge delivery. If it does not, NexusPay retries delivery up to **5 times** using an exponential backoff schedule: 1 minute, 5 minutes, 30 minutes, 2 hours, and 8 hours after the initial attempt.', 'NexusPay uses API keys for authentication. There are two types:', 'NexusPay authenticates requests using API keys passed in the HTTP `Authorization` header.', 'This guide walks through the complete end-to-end flow for accepting a card payment using NexusPay — from securely collecting card details on the frontend to confirming the payment result on the backend.']","The provided context does not contain specific information about how NexusPay determines which environment (such as development, staging, production) a request goes to. To accurately answer this question, additional context or documentation regarding environment configuration or selection in NexusPay would be necessary.","By the API key prefix, not the URL. Keys starting with sk_test_ route to sandbox, sk_live_ to live — both use the same base URL.",1.0,0.0,0.999999999975,1.0
What happens to active subscriptions if I delete a customer?,"['**Critical warning:** Deleting a customer object does **not** automatically cancel their active subscriptions. If a customer with active subscriptions is deleted:', '### GET /customers/:id\n### PUT /customers/:id\n### DELETE /customers/:id\nDeleting a customer does not cancel active subscriptions — cancel subscriptions first.', '**Always cancel all active subscriptions before deleting a customer:**', '- The subscriptions remain in the `active` or `trialing` state.\n- Renewal charges will fail because the customer record no longer exists.\n- This results in failed subscription payments and `subscription.payment_failed` webhook events.', 'The subscription remains `active` until the end of the current billing period, then transitions to `cancelled`:']","If you delete a customer with active subscriptions, the subscriptions do not get automatically canceled. They remain in the `active` or `trialing` state. Since the customer record no longer exists, any renewal charges will fail, leading to failed subscription payments and triggering `subscription.payment_failed` webhook events. Therefore, it's important to always cancel all active subscriptions before deleting a customer.",Deleting a customer does not cancel their active subscriptions. You must cancel subscriptions explicitly before deleting the customer.,1.0,0.9671432382178062,0.94999999997625,1.0
What is the difference between cancel_at_period_end and immediate cancellation for subscriptions?,"['### POST /subscriptions/:id/cancel\nCancel a subscription. `cancel_at_period_end: true` cancels at next billing date.', 'The subscription remains `active` until the end of the current billing period, then transitions to `cancelled`:', '### GET /customers/:id\n### PUT /customers/:id\n### DELETE /customers/:id\nDeleting a customer does not cancel active subscriptions — cancel subscriptions first.', '**Critical warning:** Deleting a customer object does **not** automatically cancel their active subscriptions. If a customer with active subscriptions is deleted:', '| Status | Description |\n|--------|-------------|\n| `trialing` | Within the trial period — no charges yet |\n| `active` | Billing normally; payment succeeded |\n| `past_due` | Most recent payment failed; retries ongoing |\n| `cancelled` | Subscription has ended |\n| `unpaid` | All retry attempts exhausted; requires intervention |']","When you set `cancel_at_period_end: true`, the subscription remains in an `active` state and continues to be billed until the end of the current billing period. After this period ends, the subscription status transitions to `cancelled`. This means the customer will still be charged for the remainder of the current billing cycle but won't be renewed after that.

In contrast, an immediate cancellation would terminate the subscription right away, stopping any further billing immediately and changing the subscription status to `cancelled` without waiting for the end of the current billing period. However, based on the provided context, there's no explicit mention of how to perform an immediate cancellation directly. The context mainly describes the behavior when `cancel_at_period_end: true` is used.","Setting cancel_at_period_end: true cancels at the next billing date, allowing the customer to use the service until then. Immediate cancellation stops billing right away.",0.7142857142857143,0.8211979360261658,0.99999999998,1.0
