user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What is the difference between a secret key and a publishable key?,"['- **Publishable key** — safe to embed in frontend code; used only to tokenize card data.\n- **Secret key** — must never leave your backend; used to create and manage payments.', '**Publishable keys** are limited to read operations and payment method tokenization. They are safe to embed in frontend JavaScript or mobile apps. A publishable key cannot create a payment directly — it can only create a payment method token, which your server then uses with the secret key.', '- **Secret keys** (`sk_live_...` or `sk_test_...`): Full access. Never expose in client-side code or public repositories.\n- **Publishable keys** (`pk_live_...` or `pk_test_...`): Read-only, safe for frontend use. Can tokenize payment methods.', '| Key Type | Prefix | Where to use | Who can see it |\n|----------|--------|--------------|----------------|\n| Publishable key | `pk_live_` / `pk_test_` | Frontend (browser/app) | Visible to end users — safe by design |\n| Secret key | `sk_live_` / `sk_test_` | Backend only | **Must never be exposed** |', '**Secret keys** have full API access: create payments, issue refunds, manage subscriptions, access reports. They must be stored securely on your server and never exposed to clients.']","Based on the provided context:

**Secret keys** have full API access (create payments, issue refunds, manage subscriptions, access reports) and **must never be exposed** in client-side code or public repositories. They are used on your backend.

**Publishable keys** are limited to read operations and payment method tokenization. They are **safe to embed in frontend** JavaScript or mobile apps. They cannot create payments directly, only create tokens for your server to use with the secret key. They are visible to end users by design. 



In short, secret keys are for backend use and have full access, while publishable keys are for frontend use and have limited access. Secret keys must be kept secure, while publishable keys are designed to be visible.",Secret keys have full API access and must be stored server-side. Publishable keys are read-only and safe for frontend use — they can tokenize payment methods but cannot create payments directly.,1.0,0.6688192766413106,0.99999999998,1.0
Why does NexusPay use cursor-based pagination instead of offset pagination?,"['All list endpoints in NexusPay use cursor-based pagination. This approach is more reliable than offset pagination for large datasets and real-time data.', 'NexusPay uses cursor-based pagination across all list endpoints. This guide covers patterns for fetching all records in a loop, terminating iteration correctly, staying within rate limits during bulk fetches, and running parallel paginated queries.', '### 1. Pagination: Cursor-Based Replaces Offset-Based', 'Offset pagination (`?page=2&per_page=10`) has a fundamental problem with real-time data: if a new payment is created between your first and second request, every item shifts by one position, causing duplicates or skipped items. Cursor pagination avoids this entirely.', 'This is particularly useful for support tooling and reconciliation scripts that need to look up a payment by your own internal reference rather than the NexusPay payment ID.']","NexusPay uses cursor-based pagination because offset pagination has a fundamental problem with real-time data: if a new payment is created between your first and second request, every item shifts by one position, causing duplicates or skipped items. Cursor pagination avoids this entirely. (Source: reference/pagination_filtering.md & guides/api_versioning.md)",Offset pagination has a problem with real-time data: new items shift positions causing duplicates or skipped items. Cursor pagination avoids this by tracking exact position.,0.75,0.957246804790788,0.99999999998,1.0
How does the authorization and capture flow work?,"[""**Separation of authorization and capture.** By default, `POST /payments` both authorizes and captures in a single step. For marketplaces and delayed fulfillment, set `capture: false` to authorize only. The authorization holds funds on the customer's card for up to 7 days. After that, the authorization expires automatically."", 'To test authorization and capture flows, create a payment with `capture: false` using any success card. See `docs/guides/auth_capture_flow.md`.', 'When you know the final amount, capture the authorization. You may capture the full authorized amount or a lesser amount — you cannot capture more than the original authorization.', ""An authorization places a hold on the customer's funds without immediately settling the charge. Use this flow when:"", 'This guide explains how to separate the authorization of a payment from its capture — a common pattern in industries where the final charge amount is not known at the time of booking.']","The authorization and capture flow involves two steps: authorization and capture. 

First, you authorize a payment by creating a payment with `capture: false`. This places a hold on the customer's funds for up to 7 days without immediately settling the charge. This flow is useful when the final charge amount isn't known at the time of booking.

Once you know the final amount, you capture the authorization. You can capture the full authorized amount or a lesser amount, but you cannot capture more than the original authorization. This completes the charge to the customer's card.","By default, POST /payments authorizes and captures in one step. Setting capture: false authorizes only, holding funds for up to 7 days. You then call POST /payments/:id/capture to complete.",0.8,0.8309706596489378,0.99999999998,1.0
Can I rely on webhooks as the primary confirmation of a payment?,"['**Eventual consistency for webhooks.** Webhook delivery is asynchronous. After a payment succeeds, the `payment.succeeded` event may arrive at your endpoint within milliseconds or up to 30 seconds later, depending on load. Never rely on webhooks as the primary source of truth — always confirm payment status via the API.', 'Webhooks allow NexusPay to push real-time event notifications to your server when something happens in your account — a payment succeeds, a subscription renews, a dispute is opened, and so on. This guide explains how to receive, verify, and handle webhook events reliably.', 'For most card payments, the `status` in the synchronous API response is definitive. However, for certain payment methods, the outcome may be delivered asynchronously via the `payment.succeeded` or `payment.failed` webhook event. Implement webhook handling as described in `docs/guides/webhooks_guide.md` to handle these cases.', '- Attackers can forge fake webhook events to trigger unintended actions (e.g., marking an order as paid without a real payment).\n- Replayed legitimate events can cause duplicate processing.', '- [ ] Successful payment creates and stores a payment ID correctly\n- [ ] Declined payment surfaces an appropriate error message to the user\n- [ ] Retry with the same idempotency key returns the original result (not a new payment)\n- [ ] Refund creates correctly and fires `refund.succeeded` webhook\n- [ ] Webhook signature verification rejects tampered payloads\n- [ ] Webhook timestamp check rejects events older than 5 minutes\n- [ ] Duplicate webhook delivery is handled idempotently']","No, you should not rely on webhooks as the primary source of truth for payment status. According to source [1], webhook delivery is asynchronous and can take up to 30 seconds. You should always confirm payment status via the API instead. Source [3] also states that for certain payment methods, the outcome may be delivered asynchronously via webhooks, reinforcing the need to confirm via the API.",No. Webhook delivery is asynchronous and can be delayed up to 30 seconds. Always confirm payment status via the API directly.,0.6,0.9065671800392462,0.999999999975,1.0
How should I rotate API keys without downtime?,"['You can create multiple API keys per account and assign them different permission scopes. This allows you to rotate keys without downtime:', '- Never commit API keys to version control. Use environment variables or a secrets manager.\n- Use the principle of least privilege — scope keys to the minimum required operations.\n- Rotate keys every 90 days in high-security environments.\n- Monitor API key usage in the dashboard — unexpected spikes may indicate a compromised key.\n- Use different keys for different environments (development, staging, production).', 'Rotate your secret key immediately if you suspect it has been compromised. In the Dashboard under **Developers → API Keys**, you can issue a new key. After issuing the new key:', ""1. Update your application's environment variable or secrets manager entry.\n2. Deploy the updated configuration.\n3. Revoke the old key only after confirming the new key is serving production traffic successfully."", 'Always use an **idempotency key** on requests you intend to retry. This ensures that even if the original request succeeded and the response was lost in transit, retrying returns the original result rather than creating a duplicate. See `docs/guides/idempotency_guide.md`.']",You can create multiple API keys per account and assign them different permission scopes. This allows you to rotate keys without downtime. (source: reference/authentication.md),"Create the new key, deploy the application with it, then revoke the old key. Revoking is immediate and irreversible.",0.75,0.5864640836454922,0.999999999975,0.75
What happens if I submit the same idempotency key twice with different parameters?,"['**Idempotency first.** Every write operation accepts an `idempotency_key` parameter. If the same key is submitted twice, the second request returns the result of the first without creating a duplicate. This is critical for payment systems where network failures can cause retries.', 'Always use an **idempotency key** on requests you intend to retry. This ensures that even if the original request succeeded and the response was lost in transit, retrying returns the original result rather than creating a duplicate. See `docs/guides/idempotency_guide.md`.', 'Idempotency is a property of an operation whereby performing it multiple times produces the same result as performing it once. In payments, this is critical: without idempotency, a network timeout could cause your server to retry a request and accidentally charge the customer twice.', '- [ ] Successful payment creates and stores a payment ID correctly\n- [ ] Declined payment surfaces an appropriate error message to the user\n- [ ] Retry with the same idempotency key returns the original result (not a new payment)\n- [ ] Refund creates correctly and fires `refund.succeeded` webhook\n- [ ] Webhook signature verification rejects tampered payloads\n- [ ] Webhook timestamp check rejects events older than 5 minutes\n- [ ] Duplicate webhook delivery is handled idempotently', '1. Generate the idempotency key **before** making the request.\n2. Store the key **before** sending the request (in case your process crashes mid-flight).\n3. Reuse the same key on every retry attempt for the same operation.\n4. Only generate a new key when you are intentionally starting a new operation.']","Based on the provided context, submitting the same idempotency key twice will return the result of the first request without creating a duplicate. This is stated in [1] and [2]. Specifically, [1] says ""If the same key is submitted twice, the second request returns the result of the first without creating a duplicate."" [2] reinforces this by stating you should ""Always use an **idempotency key** on requests you intend to retry. This ensures that even if the original request succeeded and the response was lost in transit, retrying returns the original result rather than creating a duplicate.""

The context does *not* specify what happens if the parameters are different. It only addresses the scenario where the same key is used repeatedly for the same operation.",The API returns HTTP 409 with error code idempotency_key_mismatch.,1.0,0.8990874589214296,0.99999999998,0.0
How do I paginate through all succeeded EUR payments from Q1 2025?,"['```\nGET /payments?status=succeeded&currency=EUR&from=2025-01-01&to=2025-03-31&limit=100\n```', '# Example: fetch all EUR payments in June\npayments = fetch_all_payments({\n    ""currency"": ""EUR"",\n    ""created_after"": ""2025-06-01T00:00:00Z"",\n    ""created_before"": ""2025-06-30T23:59:59Z"",\n    ""status"": ""succeeded""\n})\n```', '**Step 2 — Retrieve individual payments for the same period:**\n```\nGET /payments?created_after=2025-06-01T00:00:00Z&created_before=2025-06-30T23:59:59Z&currency=EUR&status=succeeded\n```', '### GET /payments\nList payments. Supports pagination via `limit` (max 100, default 10) and `starting_after`.', '**v1 (offset pagination):**\n```\nGET /payments?limit=10&offset=40\n```']","Based on the provided context, here's how you can paginate through all succeeded EUR payments from Q1 2025:

You can use the `GET /payments` endpoint with the following parameters:

*   `status=succeeded`
*   `currency=EUR`
*   `from=2025-01-01`
*   `to=2025-03-31`
*   `limit=100`

You can use `limit` to control the number of payments returned per request (maximum 100).  You can also use `starting_after` (reference [4]) to continue from where you left off in previous requests.  

Example:

```
GET /payments?status=succeeded&currency=EUR&from=2025-01-01&to=2025-03-31&limit=100
```

You would make multiple requests, incrementing `starting_after` each time until you have retrieved all payments.  Alternatively, you can use `offset` pagination (reference [5]) if you are using version v1 of the API.","Use GET /payments with filters status=succeeded, currency=EUR, from=2025-01-01, to=2025-03-31, limit=100. Use the next_cursor from each response as starting_after until has_more is false.",0.6,0.9981364296784907,0.99999999998,
What scopes are available for API keys on Pro and Enterprise plans?,"['On Pro and Enterprise plans, API keys can be scoped to specific operations:', '**Secret keys** have full API access: create payments, issue refunds, manage subscriptions, access reports. They must be stored securely on your server and never exposed to clients.', 'Scoped keys are not available on Free or Starter plans — those plans only support full-access keys.', '| Scope              | Operations allowed                        |\n|--------------------|-------------------------------------------|\n| `payments:read`    | GET /payments, GET /payments/:id          |\n| `payments:write`   | POST /payments, capture, cancel           |\n| `refunds:write`    | POST /refunds                             |\n| `subscriptions`    | All subscription endpoints                |\n| `reports:read`     | GET /reports/*                            |\n| `webhooks`         | All webhook endpoints                     |', 'You can create multiple API keys per account and assign them different permission scopes. This allows you to rotate keys without downtime:']","On Pro and Enterprise plans, the following scopes are available for API keys:

*   `payments:read` - GET /payments, GET /payments/:id
*   `payments:write` - POST /payments, capture, cancel
*   `refunds:write` - POST /refunds
*   `subscriptions` - All subscription endpoints
*   `reports:read` - GET /reports/*
*   `webhooks` - All webhook endpoints","payments:read, payments:write, refunds:write, subscriptions, reports:read, webhooks. Scoped keys are not available on Free or Starter plans.",1.0,0.9955372650085443,0.99999999998,1.0
How does NexusPay determine which environment a request goes to?,"['NexusPay is a payment processing API designed for European businesses. It handles the full payment lifecycle: authorization, capture, settlement, refunds, and recurring billing through subscriptions.', 'NexusPay provides a fully isolated sandbox environment that mirrors production behaviour without processing real money. This guide explains how to use test card numbers, trigger specific error scenarios, and test your webhook handlers.', 'NexusPay uses API keys for authentication. There are two types:', 'NexusPay authenticates requests using API keys passed in the HTTP `Authorization` header.', ""1. **Your frontend** uses the NexusPay.js library (or mobile SDK) and your **publishable key** to collect card data directly in the customer's browser.\n2. Card data travels directly to NexusPay's PCI-compliant servers — it never touches your backend.\n3. NexusPay returns a short-lived, single-use **payment token** that contains no sensitive data.\n4. **Your backend** uses this token with your **secret key** to create a payment.""]",The context does not provide information about how NexusPay determines which environment a request goes to. It only mentions a sandbox environment for testing ([2]) but doesn't detail how requests are routed to it versus production.,"By the API key prefix, not the URL. Keys starting with sk_test_ route to sandbox, sk_live_ to live — both use the same base URL.",1.0,0.0,0.6791666666496875,1.0
What happens to active subscriptions if I delete a customer?,"['**Critical warning:** Deleting a customer object does **not** automatically cancel their active subscriptions. If a customer with active subscriptions is deleted:', '### GET /customers/:id\n### PUT /customers/:id\n### DELETE /customers/:id\nDeleting a customer does not cancel active subscriptions — cancel subscriptions first.', '**Always cancel all active subscriptions before deleting a customer:**', 'The subscription remains `active` until the end of the current billing period, then transitions to `cancelled`:', '### POST /subscriptions/:id/cancel\nCancel a subscription. `cancel_at_period_end: true` cancels at next billing date.']","Deleting a customer does **not** automatically cancel their active subscriptions. You must cancel all active subscriptions *before* deleting a customer. Active subscriptions will remain `active` until the end of the current billing period, then transition to `cancelled`.",Deleting a customer does not cancel their active subscriptions. You must cancel subscriptions explicitly before deleting the customer.,1.0,0.9650317078153217,0.99999999998,1.0
