user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
How many requests per minute can a Pro plan make?,"['{""plan"": ""pro"", ""limit"": 1000, ""window"": ""minute""}']",A Pro plan can make 1000 requests per minute.,"1,000 requests per minute",1.0,0.9770859479841056,0.9999999999,1.0
What is the rate limit for Free plan users per day?,"['{""plan"": ""free"", ""limit"": 1000, ""window"": ""day""}']",The rate limit for Free plan users per day is 1000.,"1,000 requests per day",1.0,1.0000000000000002,0.9999999999,1.0
How many webhook endpoints can a Starter plan configure?,"['{""plan"": ""starter"", ""limit"": 10}']",A Starter plan can configure 10 webhook endpoints.,10 webhook endpoints,1.0,0.9955717821950878,0.9999999999,1.0
What is the burst limit for the Enterprise plan?,"['{""plan"": ""enterprise"", ""limit"": 20000, ""window"": ""10s""}']",The burst limit for the Enterprise plan is 20000.,"20,000 requests in a 10-second burst window",1.0,1.0,0.9999999999,1.0
How many refunds can I create per payment?,"['{""unit"": ""refunds_per_payment"", ""limit"": 5}']",You can create up to 5 refunds per payment.,Maximum 5 refunds per payment,1.0,1.0000000000000002,0.9999999999,1.0
Within how many days must a refund be created after the original payment?,"['{""unit"": ""days"", ""limit"": 180}']",180 days,180 days,1.0,0.5249588094985664,0.9999999999,1.0
What is the minimum amount for a partial refund?,"['{""unit"": ""cents"", ""limit"": 50}']","The minimum amount for a partial refund cannot be determined solely from the given context. The context provides a unit (cents) and a limit (50), but it does not specify whether this limit represents the minimum or maximum amount for a partial refund.",50 cents,1.0,0.0,0.9999999999,1.0
How long is the capture window for an authorized payment?,"['{""unit"": ""days"", ""limit"": 7}']",The capture window for an authorized payment is 7 days.,7 days,1.0,0.9210766527490369,0.9999999999,1.0
What currencies does NexusPay support?,"['{""currencies"": [""EUR"", ""USD"", ""GBP"", ""CHF"", ""SEK"", ""NOK"", ""DKK""]}']","Based solely on the provided context, NexusPay supports the following currencies: EUR, USD, GBP, CHF, SEK, NOK, DKK. However, it's important to note that the context does not explicitly mention NexusPay; it simply lists these currencies without specifying any particular service or institution they are associated with.","EUR, USD, GBP, CHF, SEK, NOK, DKK",0.125,0.8846928834026607,0.9999999999,1.0
What is the maximum number of metadata keys allowed per payment?,"['{""max_keys"": 50, ""max_key_length"": 40}']",The maximum number of metadata keys allowed per payment is 50.,"50 key-value pairs, with keys up to 40 characters",1.0,1.0,0.9999999999,1.0
What is the maximum trial period for a subscription?,"['{""unit"": ""days"", ""limit"": 90}']",The maximum trial period for a subscription is 90 days.,90 days,1.0,0.9595223024691674,0.9999999999,1.0
What HTTP status code does the API return when the rate limit is exceeded?,"['{""code"": ""rate_limit_exceeded"", ""http_status"": 429}']",429,HTTP 429,1.0,0.37663170518321615,0.9999999999,1.0
What error code is returned when an API key has been revoked?,"['{""code"": ""revoked_api_key"", ""http_status"": 401}']","The error code returned when an API key has been revoked is ""revoked_api_key"".",revoked_api_key,1.0,1.0,0.9999999999,1.0
What error code is returned when a refund exceeds the 180-day window?,"['{""code"": ""refund_window_expired"", ""http_status"": 422}']","The error code returned when a refund exceeds the 180-day window is ""refund_window_expired"".",refund_window_expired,0.5,1.0000000000000002,0.9999999999,1.0
What is the current API version?,"['{""version"": ""v2"", ""released"": ""2025-01-15""}']",The current API version is v2.,"v2, released on 2025-01-15",1.0,0.9892828799543036,0.9999999999,1.0
When will API v1 be sunset?,"['{""sunset"": ""2026-01-15"", ""version"": ""v1"", ""deprecated"": ""2025-07-01""}']",API v1 will be sunset on 2026-01-15.,2026-01-15,1.0,1.0,0.9999999999,1.0
What is the maximum page size when listing payments?,"['{""max"": 100, ""default"": 10}']",The maximum page size when listing payments is 100.,100 items per page,1.0,1.0,0.9999999999,1.0
How many times does NexusPay retry a failed webhook delivery?,"['{""backoff"": [""1min"", ""5min"", ""30min"", ""2h"", ""8h""], ""retries"": 5}']",NexusPay retries a failed webhook delivery 5 times.,"Up to 5 times with exponential backoff: 1min, 5min, 30min, 2h, 8h",0.0,1.0,0.9999999999,1.0
What is the IP-level rate limit regardless of plan?,"['{""limit"": 5000, ""scope"": ""ip"", ""window"": ""minute""}']",The IP-level rate limit is 5000 requests per minute regardless of plan.,"5,000 requests per minute per IP address",0.6666666666666666,0.9194363594751493,0.9999999999,1.0
How long do idempotency keys remain valid?,"['{""unit"": ""hours"", ""expiration"": 24}']",Idempotency keys remain valid for 24 hours.,24 hours,0.0,0.98526176855191,0.9999999999,1.0
What is the maximum description length for a payment?,"['{""unit"": ""characters"", ""limit"": 255}']",The maximum description length for a payment is 255 characters.,255 characters,1.0,0.9999990011198006,0.9999999999,1.0
How many concurrent connections does the Pro plan support?,"['{""plan"": ""pro"", ""limit"": 50}']",The Pro plan supports 50 concurrent connections.,50 concurrent connections,1.0,0.976746491794834,0.9999999999,1.0
What HTTP status code is returned when a resource is not found?,"['{""code"": ""not_found"", ""http_status"": 404}']",404,HTTP 404,1.0,0.6243892886590289,0.9999999999,1.0
What is the maximum URL length for a webhook endpoint?,"['{""unit"": ""characters"", ""limit"": 2048}']","The provided context does not contain information about the maximum URL length for a webhook endpoint. Therefore, I cannot answer the question based on the given context.",2048 characters,1.0,0.0,0.9999999999,1.0
What error code is returned when the capture window has expired?,"['{""code"": ""capture_window_expired"", ""http_status"": 422}']",The error code returned when the capture window has expired is `capture_window_expired`.,capture_window_expired,1.0,0.9999999999999998,0.9999999999,1.0
