id,type,source,question,ideal_answer,hypothetical_answer,generated_answer,retrieved_context,hyde_latency_s,answer_latency_s,total_latency_s,prompt_tokens,completion_tokens,tokens_used,embedding_model,llm_model,cost_per_query_usd,gpu_hourly_rate_usd,equivalent_api_cost_usd
Q026,semantic,reference/architecture_overview.md; guides/payments_flow.md; guides/security_guide.md; reference/authentication.md,What is the difference between a secret key and a publishable key?,Secret keys have full API access and must be stored server-side. Publishable keys are read-only and safe for frontend use — they can tokenize payment methods but cannot create payments directly.,"A secret key is used for signing transactions and should *never* be shared, while a publishable key is publicly available and used to verify those signatures. Think of it like a private signature versus a publicly visible address – the address confirms authenticity based on the signature, but doesn't reveal the signature's origin.","Based on the provided context:

**Secret keys** have full API access (create payments, issue refunds, manage subscriptions, access reports) and **must never be exposed** in client-side code or public repositories. They are used on your backend.

**Publishable keys** are limited to read operations and payment method tokenization. They are **safe to embed in frontend** JavaScript or mobile apps. They cannot create payments directly, only create tokens for your server to use with the secret key. They are visible to end users by design. 



In short, secret keys are for backend use and have full access, while publishable keys are for frontend use and have limited access. Secret keys must be kept secure, while publishable keys are designed to be visible.","[""- **Publishable key** — safe to embed in frontend code; used only to tokenize card data.\n- **Secret key** — must never leave your backend; used to create and manage payments."", ""**Publishable keys** are limited to read operations and payment method tokenization. They are safe to embed in frontend JavaScript or mobile apps. A publishable key cannot create a payment directly — it can only create a payment method token, which your server then uses with the secret key."", ""- **Secret keys** (`sk_live_...` or `sk_test_...`): Full access. Never expose in client-side code or public repositories.\n- **Publishable keys** (`pk_live_...` or `pk_test_...`): Read-only, safe for frontend use. Can tokenize payment methods."", ""| Key Type | Prefix | Where to use | Who can see it |\n|----------|--------|--------------|----------------|\n| Publishable key | `pk_live_` / `pk_test_` | Frontend (browser/app) | Visible to end users — safe by design |\n| Secret key | `sk_live_` / `sk_test_` | Backend only | **Must never be exposed** |"", ""**Secret keys** have full API access: create payments, issue refunds, manage subscriptions, access reports. They must be stored securely on your server and never exposed to clients.""]",1.466,3.64,5.106,470,222,692,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00106276,0.7493,0.0016348
Q027,semantic,reference/pagination_filtering.md; guides/pagination_advanced.md; guides/metadata_guide.md; guides/api_versioning.md,Why does NexusPay use cursor-based pagination instead of offset pagination?,Offset pagination has a problem with real-time data: new items shift positions causing duplicates or skipped items. Cursor pagination avoids this by tracking exact position.,"NexusPay utilizes cursor-based pagination for improved performance and data consistency. Unlike offset pagination, cursor-based pagination relies on unique, stable identifiers (cursors) allowing efficient retrieval of subsequent pages without full table scans, and avoids issues arising from data shifts impacting offset calculations. This approach ensures predictable results even with concurrent data modifications.","NexusPay uses cursor-based pagination because offset pagination has a fundamental problem with real-time data: if a new payment is created between your first and second request, every item shifts by one position, causing duplicates or skipped items. Cursor pagination avoids this entirely. (Source: reference/pagination_filtering.md & guides/api_versioning.md)","[""All list endpoints in NexusPay use cursor-based pagination. This approach is more reliable than offset pagination for large datasets and real-time data."", ""NexusPay uses cursor-based pagination across all list endpoints. This guide covers patterns for fetching all records in a loop, terminating iteration correctly, staying within rate limits during bulk fetches, and running parallel paginated queries."", ""### 1. Pagination: Cursor-Based Replaces Offset-Based"", ""Offset pagination (`?page=2&per_page=10`) has a fundamental problem with real-time data: if a new payment is created between your first and second request, every item shifts by one position, causing duplicates or skipped items. Cursor pagination avoids this entirely."", ""This is particularly useful for support tooling and reconciliation scripts that need to look up a payment by your own internal reference rather than the NexusPay payment ID.""]",1.477,1.719,3.196,353,138,491,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00066521,0.7493,0.0011014
Q028,semantic,reference/architecture_overview.md; guides/auth_capture_flow.md; guides/testing_guide.md,How does the authorization and capture flow work?,"By default, POST /payments authorizes and captures in one step. Setting capture: false authorizes only, holding funds for up to 7 days. You then call POST /payments/:id/capture to complete.","The authorization flow pre-approves a transaction amount with the cardholder's bank, reserving funds but not yet debiting them. Capture then finalizes the transaction, debiting the authorized amount – this typically happens when goods/services are shipped or provided, signaling completion of the sale.  Properly implementing both steps ensures funds are available and reduces risk of declined transactions.","The authorization and capture flow involves two steps: authorization and capture. 

First, you authorize a payment by creating a payment with `capture: false`. This places a hold on the customer's funds for up to 7 days without immediately settling the charge. This flow is useful when the final charge amount isn't known at the time of booking.

Once you know the final amount, you capture the authorization. You can capture the full authorized amount or a lesser amount, but you cannot capture more than the original authorization. This completes the charge to the customer's card.","[""**Separation of authorization and capture.** By default, `POST /payments` both authorizes and captures in a single step. For marketplaces and delayed fulfillment, set `capture: false` to authorize only. The authorization holds funds on the customer's card for up to 7 days. After that, the authorization expires automatically."", ""To test authorization and capture flows, create a payment with `capture: false` using any success card. See `docs/guides/auth_capture_flow.md`."", ""When you know the final amount, capture the authorization. You may capture the full authorized amount or a lesser amount — you cannot capture more than the original authorization."", ""An authorization places a hold on the customer's funds without immediately settling the charge. Use this flow when:"", ""This guide explains how to separate the authorization of a payment from its capture — a common pattern in industries where the final charge amount is not known at the time of booking.""]",1.721,2.752,4.473,364,195,559,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00093101,0.7493,0.0013676
Q029,semantic,guides/webhooks_guide.md; reference/architecture_overview.md; guides/payments_flow.md; guides/testing_guide.md; guides/security_guide.md,Can I rely on webhooks as the primary confirmation of a payment?,No. Webhook delivery is asynchronous and can be delayed up to 30 seconds. Always confirm payment status via the API directly.,"Generally, no. While webhooks provide valuable *notifications*, they shouldn't be your sole source of truth for payment confirmation due to potential delivery failures or delays. Always reconcile webhook events against your own records and the payment provider's API responses for reliable confirmation.","No, you should not rely on webhooks as the primary source of truth for payment status. According to source [1], webhook delivery is asynchronous and can take up to 30 seconds. You should always confirm payment status via the API instead. Source [3] also states that for certain payment methods, the outcome may be delivered asynchronously via webhooks, reinforcing the need to confirm via the API.","[""**Eventual consistency for webhooks.** Webhook delivery is asynchronous. After a payment succeeds, the `payment.succeeded` event may arrive at your endpoint within milliseconds or up to 30 seconds later, depending on load. Never rely on webhooks as the primary source of truth — always confirm payment status via the API."", ""Webhooks allow NexusPay to push real-time event notifications to your server when something happens in your account — a payment succeeds, a subscription renews, a dispute is opened, and so on. This guide explains how to receive, verify, and handle webhook events reliably."", ""For most card payments, the `status` in the synchronous API response is definitive. However, for certain payment methods, the outcome may be delivered asynchronously via the `payment.succeeded` or `payment.failed` webhook event. Implement webhook handling as described in `docs/guides/webhooks_guide.md` to handle these cases."", ""- Attackers can forge fake webhook events to trigger unintended actions (e.g., marking an order as paid without a real payment).\n- Replayed legitimate events can cause duplicate processing."", ""- [ ] Successful payment creates and stores a payment ID correctly\n- [ ] Declined payment surfaces an appropriate error message to the user\n- [ ] Retry with the same idempotency key returns the original result (not a new payment)\n- [ ] Refund creates correctly and fires `refund.succeeded` webhook\n- [ ] Webhook signature verification rejects tampered payloads\n- [ ] Webhook timestamp check rejects events older than 5 minutes\n- [ ] Duplicate webhook delivery is handled idempotently""]",1.219,1.978,3.197,511,136,647,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00066542,0.7493,0.0013138
Q030,semantic,guides/error_handling_guide.md; guides/security_guide.md; reference/authentication.md,How should I rotate API keys without downtime?,"Create the new key, deploy the application with it, then revoke the old key. Revoking is immediate and irreversible.","To rotate API keys without downtime, implement a dual-key system where both the old and new keys are accepted concurrently for a defined period. Once you've confirmed all clients are successfully using the new key, you can then revoke the old key to finalize the rotation – ensuring no service interruption. Thorough monitoring during the transition period is crucial.",You can create multiple API keys per account and assign them different permission scopes. This allows you to rotate keys without downtime. (source: reference/authentication.md),"[""You can create multiple API keys per account and assign them different permission scopes. This allows you to rotate keys without downtime:"", ""- Never commit API keys to version control. Use environment variables or a secrets manager.\n- Use the principle of least privilege — scope keys to the minimum required operations.\n- Rotate keys every 90 days in high-security environments.\n- Monitor API key usage in the dashboard — unexpected spikes may indicate a compromised key.\n- Use different keys for different environments (development, staging, production)."", ""Rotate your secret key immediately if you suspect it has been compromised. In the Dashboard under **Developers → API Keys**, you can issue a new key. After issuing the new key:"", ""1. Update your application's environment variable or secrets manager entry.\n2. Deploy the updated configuration.\n3. Revoke the old key only after confirming the new key is serving production traffic successfully."", ""Always use an **idempotency key** on requests you intend to retry. This ensures that even if the original request succeeded and the response was lost in transit, retrying returns the original result rather than creating a duplicate. See `docs/guides/idempotency_guide.md`.""]",1.566,0.876,2.442,410,103,513,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00050828,0.7493,0.0010272
Q031,semantic,reference/architecture_overview.md; guides/testing_guide.md; guides/error_handling_guide.md; guides/idempotency_guide.md,What happens if I submit the same idempotency key twice with different parameters?,The API returns HTTP 409 with error code idempotency_key_mismatch.,"If the same idempotency key is submitted with differing parameters, the system will typically ignore the second request. This behavior ensures that even with repeated submissions due to network issues or client retries, the intended action only occurs *once*, preventing unintended side effects or data inconsistencies.","Based on the provided context, submitting the same idempotency key twice will return the result of the first request without creating a duplicate. This is stated in [1] and [2]. Specifically, [1] says ""If the same key is submitted twice, the second request returns the result of the first without creating a duplicate."" [2] reinforces this by stating you should ""Always use an **idempotency key** on requests you intend to retry. This ensures that even if the original request succeeded and the response was lost in transit, retrying returns the original result rather than creating a duplicate.""

The context does *not* specify what happens if the parameters are different. It only addresses the scenario where the same key is used repeatedly for the same operation.","[""**Idempotency first.** Every write operation accepts an `idempotency_key` parameter. If the same key is submitted twice, the second request returns the result of the first without creating a duplicate. This is critical for payment systems where network failures can cause retries."", ""Always use an **idempotency key** on requests you intend to retry. This ensures that even if the original request succeeded and the response was lost in transit, retrying returns the original result rather than creating a duplicate. See `docs/guides/idempotency_guide.md`."", ""Idempotency is a property of an operation whereby performing it multiple times produces the same result as performing it once. In payments, this is critical: without idempotency, a network timeout could cause your server to retry a request and accidentally charge the customer twice."", ""- [ ] Successful payment creates and stores a payment ID correctly\n- [ ] Declined payment surfaces an appropriate error message to the user\n- [ ] Retry with the same idempotency key returns the original result (not a new payment)\n- [ ] Refund creates correctly and fires `refund.succeeded` webhook\n- [ ] Webhook signature verification rejects tampered payloads\n- [ ] Webhook timestamp check rejects events older than 5 minutes\n- [ ] Duplicate webhook delivery is handled idempotently"", ""1. Generate the idempotency key **before** making the request.\n2. Store the key **before** sending the request (in case your process crashes mid-flight).\n3. Reuse the same key on every retry attempt for the same operation.\n4. Only generate a new key when you are intentionally starting a new operation.""]",1.254,3.617,4.871,524,210,734,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00101384,0.7493,0.0016576
Q032,semantic,reference/pagination_filtering.md; guides/api_versioning.md; guides/pagination_advanced.md; reference/endpoints.md; guides/reporting_guide.md,How do I paginate through all succeeded EUR payments from Q1 2025?,"Use GET /payments with filters status=succeeded, currency=EUR, from=2025-01-01, to=2025-03-31, limit=100. Use the next_cursor from each response as starting_after until has_more is false.","To paginate through succeeded EUR payments from Q1 2025, utilize the `/payments` endpoint with query parameters `status=succeeded`, `currency=EUR`, `start_date=2025-01-01`, and `end_date=2025-03-31`.  Implement `limit` and `offset` parameters in your requests to retrieve results in batches – incrementing `offset` with each page to navigate through the full dataset.  Refer to the API documentation section on pagination for detailed examples and best practices.","Based on the provided context, here's how you can paginate through all succeeded EUR payments from Q1 2025:

You can use the `GET /payments` endpoint with the following parameters:

*   `status=succeeded`
*   `currency=EUR`
*   `from=2025-01-01`
*   `to=2025-03-31`
*   `limit=100`

You can use `limit` to control the number of payments returned per request (maximum 100).  You can also use `starting_after` (reference [4]) to continue from where you left off in previous requests.  

Example:

```
GET /payments?status=succeeded&currency=EUR&from=2025-01-01&to=2025-03-31&limit=100
```

You would make multiple requests, incrementing `starting_after` each time until you have retrieved all payments.  Alternatively, you can use `offset` pagination (reference [5]) if you are using version v1 of the API.","[""```\nGET /payments?status=succeeded&currency=EUR&from=2025-01-01&to=2025-03-31&limit=100\n```"", ""# Example: fetch all EUR payments in June\npayments = fetch_all_payments({\n    \""currency\"": \""EUR\"",\n    \""created_after\"": \""2025-06-01T00:00:00Z\"",\n    \""created_before\"": \""2025-06-30T23:59:59Z\"",\n    \""status\"": \""succeeded\""\n})\n```"", ""**Step 2 — Retrieve individual payments for the same period:**\n```\nGET /payments?created_after=2025-06-01T00:00:00Z&created_before=2025-06-30T23:59:59Z&currency=EUR&status=succeeded\n```"", ""### GET /payments\nList payments. Supports pagination via `limit` (max 100, default 10) and `starting_after`."", ""**v1 (offset pagination):**\n```\nGET /payments?limit=10&offset=40\n```""]",2.673,5.861,8.534,469,375,844,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00177626,0.7493,0.0023066
Q033,semantic,reference/authentication.md,What scopes are available for API keys on Pro and Enterprise plans?,"payments:read, payments:write, refunds:write, subscriptions, reports:read, webhooks. Scoped keys are not available on Free or Starter plans.","On Pro and Enterprise plans, API keys support granular scopes like `read:projects`, `write:tasks`, and `admin:billing` allowing you to restrict access to specific resources.  Refer to the API documentation section ""API Key Scopes"" for a complete list and detailed descriptions of each available scope – this ensures secure access tailored to your integration needs.","On Pro and Enterprise plans, the following scopes are available for API keys:

*   `payments:read` - GET /payments, GET /payments/:id
*   `payments:write` - POST /payments, capture, cancel
*   `refunds:write` - POST /refunds
*   `subscriptions` - All subscription endpoints
*   `reports:read` - GET /reports/*
*   `webhooks` - All webhook endpoints","[""On Pro and Enterprise plans, API keys can be scoped to specific operations:"", ""**Secret keys** have full API access: create payments, issue refunds, manage subscriptions, access reports. They must be stored securely on your server and never exposed to clients."", ""Scoped keys are not available on Free or Starter plans — those plans only support full-access keys."", ""| Scope              | Operations allowed                        |\n|--------------------|-------------------------------------------|\n| `payments:read`    | GET /payments, GET /payments/:id          |\n| `payments:write`   | POST /payments, capture, cancel           |\n| `refunds:write`    | POST /refunds                             |\n| `subscriptions`    | All subscription endpoints                |\n| `reports:read`     | GET /reports/*                            |\n| `webhooks`         | All webhook endpoints                     |"", ""You can create multiple API keys per account and assign them different permission scopes. This allows you to rotate keys without downtime:""]",1.654,2.28,3.934,372,171,543,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00081882,0.7493,0.0012732
Q034,semantic,reference/architecture_overview.md; guides/testing_guide.md; guides/security_guide.md; reference/authentication.md,How does NexusPay determine which environment a request goes to?,"By the API key prefix, not the URL. Keys starting with sk_test_ route to sandbox, sk_live_ to live — both use the same base URL.","NexusPay uses environment variables (like `NEXUSPAY_ENVIRONMENT`) in the application configuration to route requests. This variable dictates whether requests are directed to development, staging, or production databases/services.  If the variable isn't set, it defaults to a pre-defined production environment for security reasons.",The context does not provide information about how NexusPay determines which environment a request goes to. It only mentions a sandbox environment for testing ([2]) but doesn't detail how requests are routed to it versus production.,"[""NexusPay is a payment processing API designed for European businesses. It handles the full payment lifecycle: authorization, capture, settlement, refunds, and recurring billing through subscriptions."", ""NexusPay provides a fully isolated sandbox environment that mirrors production behaviour without processing real money. This guide explains how to use test card numbers, trigger specific error scenarios, and test your webhook handlers."", ""NexusPay uses API keys for authentication. There are two types:"", ""NexusPay authenticates requests using API keys passed in the HTTP `Authorization` header."", ""1. **Your frontend** uses the NexusPay.js library (or mobile SDK) and your **publishable key** to collect card data directly in the customer's browser.\n2. Card data travels directly to NexusPay's PCI-compliant servers — it never touches your backend.\n3. NexusPay returns a short-lived, single-use **payment token** that contains no sensitive data.\n4. **Your backend** uses this token with your **secret key** to create a payment.""]",1.454,1.074,2.528,379,108,487,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.00052618,0.7493,0.0010058
Q035,semantic,reference/endpoints.md; guides/subscriptions_guide.md; guides/customers_guide.md,What happens to active subscriptions if I delete a customer?,Deleting a customer does not cancel their active subscriptions. You must cancel subscriptions explicitly before deleting the customer.,"Deleting a customer in our system does *not* automatically cancel their active subscriptions. Instead, subscriptions are marked as orphaned and will require separate cancellation or reassignment to a new customer record to avoid billing issues – detailed instructions are available in [link to cancellation/reassignment documentation].","Deleting a customer does **not** automatically cancel their active subscriptions. You must cancel all active subscriptions *before* deleting a customer. Active subscriptions will remain `active` until the end of the current billing period, then transition to `cancelled`.","[""**Critical warning:** Deleting a customer object does **not** automatically cancel their active subscriptions. If a customer with active subscriptions is deleted:"", ""### GET /customers/:id\n### PUT /customers/:id\n### DELETE /customers/:id\nDeleting a customer does not cancel active subscriptions — cancel subscriptions first."", ""**Always cancel all active subscriptions before deleting a customer:**"", ""The subscription remains `active` until the end of the current billing period, then transitions to `cancelled`:"", ""### POST /subscriptions/:id/cancel\nCancel a subscription. `cancel_at_period_end: true` cancels at next billing date.""]",1.278,1.167,2.445,293,105,398,BAAI/bge-m3,gaunernst/gemma-3-27b-it-int4-awq,0.0005089,0.7493,0.0008722
