id,type,source,question,ideal_answer,hypothetical_answer,generated_answer,retrieved_context,hyde_latency_s,answer_latency_s,total_latency_s,prompt_tokens,completion_tokens,tokens_used,embedding_model,llm_model,cost_per_query_usd,gpu_hourly_rate_usd,equivalent_api_cost_usd
Q026,semantic,reference/authentication.md; guides/payments_flow.md; guides/security_guide.md; reference/architecture_overview.md,What is the difference between a secret key and a publishable key?,Secret keys have full API access and must be stored server-side. Publishable keys are read-only and safe for frontend use — they can tokenize payment methods but cannot create payments directly.,"In cryptographic systems, a secret key must be kept confidential and is used for both encrypting and decrypting messages in symmetric key algorithms. A publishable key, part of an asymmetric key pair, is meant to be shared publicly; it's used for encrypting messages or verifying signatures, while the corresponding private key is used for decryption or signing.","The difference between a secret key and a publishable key lies in their usage and security requirements:

- **Publishable key**: This key is designed to be safely embedded in frontend code such as web browsers or mobile applications. It is limited to read operations and can be used to tokenize payment information, like credit card details, but it cannot create payments directly. The publishable key is visible to end users and is considered safe by design due to its restricted capabilities.

- **Secret key**: In contrast, the secret key has full access to the API, allowing actions such as creating payments, issuing refunds, managing subscriptions, and accessing reports. Due to its extensive permissions, the secret key must be kept secure on the server side and should never be exposed to clients or included in client-side code or public repositories.","[""- **Publishable key** — safe to embed in frontend code; used only to tokenize card data.\n- **Secret key** — must never leave your backend; used to create and manage payments."", ""**Publishable keys** are limited to read operations and payment method tokenization. They are safe to embed in frontend JavaScript or mobile apps. A publishable key cannot create a payment directly — it can only create a payment method token, which your server then uses with the secret key."", ""**Secret keys** have full API access: create payments, issue refunds, manage subscriptions, access reports. They must be stored securely on your server and never exposed to clients."", ""- **Secret keys** (`sk_live_...` or `sk_test_...`): Full access. Never expose in client-side code or public repositories.\n- **Publishable keys** (`pk_live_...` or `pk_test_...`): Read-only, safe for frontend use. Can tokenize payment methods."", ""| Key Type | Prefix | Where to use | Who can see it |\n|----------|--------|--------------|----------------|\n| Publishable key | `pk_live_` / `pk_test_` | Frontend (browser/app) | Visible to end users — safe by design |\n| Secret key | `sk_live_` / `sk_test_` | Backend only | **Must never be exposed** |""]",1.594,3.788,5.382,471,232,703,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.0011202,0.7493,0.0016802
Q027,semantic,guides/pagination_advanced.md; reference/pagination_filtering.md; guides/security_guide.md; guides/metadata_guide.md,Why does NexusPay use cursor-based pagination instead of offset pagination?,Offset pagination has a problem with real-time data: new items shift positions causing duplicates or skipped items. Cursor pagination avoids this by tracking exact position.,"NexusPay employs cursor-based pagination to enhance performance and reliability, especially with large datasets. This method allows for efficient retrieval of the next set of records without the overhead of calculating offsets, which can become increasingly costly as the dataset grows.","NexusPay uses cursor-based pagination instead of offset pagination because it is more reliable, especially for large datasets and real-time data. Offset pagination can lead to issues where new entries added between requests cause items to shift, resulting in potential duplicates or skipped items. Cursor-based pagination avoids these problems, ensuring more accurate and consistent data retrieval.","[""All list endpoints in NexusPay use cursor-based pagination. This approach is more reliable than offset pagination for large datasets and real-time data."", ""NexusPay uses cursor-based pagination across all list endpoints. This guide covers patterns for fetching all records in a loop, terminating iteration correctly, staying within rate limits during bulk fetches, and running parallel paginated queries."", ""Offset pagination (`?page=2&per_page=10`) has a fundamental problem with real-time data: if a new payment is created between your first and second request, every item shifts by one position, causing duplicates or skipped items. Cursor pagination avoids this entirely."", ""This is particularly useful for support tooling and reconciliation scripts that need to look up a payment by your own internal reference rather than the NexusPay payment ID."", ""NexusPay performs real-time fraud scoring on all payment requests. You can supplement this with:""]",1.106,1.609,2.715,370,115,485,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.0005651,0.7493,0.001024
Q028,semantic,reference/architecture_overview.md; guides/testing_guide.md; guides/auth_capture_flow.md,How does the authorization and capture flow work?,"By default, POST /payments authorizes and captures in one step. Setting capture: false authorizes only, holding funds for up to 7 days. You then call POST /payments/:id/capture to complete.","The authorization process verifies the user's credentials or transaction details against predefined rules or an authentication server. Upon successful authorization, the capture flow initiates the actual transfer of funds or resources from one account to another, completing the transaction.","The authorization and capture flow works as follows:

1. **Authorization Step**: When creating a payment, if you set `capture: false`, the system will only authorize the transaction. This means it will place a hold on the customer's funds for up to 7 days without immediately settling the charge. This is useful for scenarios like marketplaces or delayed fulfillment where you might not want to capture the funds immediately after authorization.

2. **Verification Step**: Before capturing the funds, you can verify that the authorization is still valid by retrieving the payment details.

3. **Capture Step**: Once you're ready to capture the funds, you can do so for the full authorized amount or a lesser amount, but never more than what was originally authorized. This step completes the transaction by settling the charge.

This separation allows for flexibility in managing transactions, especially in situations where the final amount might not be known at the time of authorization or where there is a need to delay the settlement of charges.","[""To test authorization and capture flows, create a payment with `capture: false` using any success card. See `docs/guides/auth_capture_flow.md`."", ""**Separation of authorization and capture.** By default, `POST /payments` both authorizes and captures in a single step. For marketplaces and delayed fulfillment, set `capture: false` to authorize only. The authorization holds funds on the customer's card for up to 7 days. After that, the authorization expires automatically."", ""To verify that an authorization is still valid before capturing, retrieve the payment:"", ""When you know the final amount, capture the authorization. You may capture the full authorized amount or a lesser amount — you cannot capture more than the original authorization."", ""An authorization places a hold on the customer's funds without immediately settling the charge. Use this flow when:""]",1.062,4.527,5.589,353,243,596,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.00116329,0.7493,0.0015634
Q029,semantic,guides/refunds_guide.md; guides/payments_flow.md; guides/webhooks_guide.md; guides/security_guide.md; reference/architecture_overview.md,Can I rely on webhooks as the primary confirmation of a payment?,No. Webhook delivery is asynchronous and can be delayed up to 30 seconds. Always confirm payment status via the API directly.,"Webhooks can be used for real-time notifications but should not be relied upon as the sole method for confirming payments due to potential delivery failures or delays. It's advisable to implement additional checks, such as polling the payment status or using a database to track payment confirmations.","No, you cannot rely on webhooks as the primary confirmation of a payment. According to the provided context, webhook delivery is asynchronous and the `payment.succeeded` event might arrive within milliseconds to up to 30 seconds after a payment occurs. Therefore, it is advised not to use webhooks as the primary source of truth for payment status. Always confirm the payment status via the API.","[""Webhooks allow NexusPay to push real-time event notifications to your server when something happens in your account — a payment succeeds, a subscription renews, a dispute is opened, and so on. This guide explains how to receive, verify, and handle webhook events reliably."", ""**Eventual consistency for webhooks.** Webhook delivery is asynchronous. After a payment succeeds, the `payment.succeeded` event may arrive at your endpoint within milliseconds or up to 30 seconds later, depending on load. Never rely on webhooks as the primary source of truth — always confirm payment status via the API."", ""For most card payments, the `status` in the synchronous API response is definitive. However, for certain payment methods, the outcome may be delivered asynchronously via the `payment.succeeded` or `payment.failed` webhook event. Implement webhook handling as described in `docs/guides/webhooks_guide.md` to handle these cases."", ""Subscribe to the `refund.succeeded` and `refund.failed` webhook events to track settlement asynchronously. Refer to `docs/guides/webhooks_guide.md`."", ""- Attackers can forge fake webhook events to trigger unintended actions (e.g., marking an order as paid without a real payment).\n- Replayed legitimate events can cause duplicate processing.""]",1.264,1.945,3.209,450,135,585,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.00066792,0.7493,0.001224
Q030,semantic,reference/authentication.md; guides/error_handling_guide.md; guides/security_guide.md,How should I rotate API keys without downtime?,"Create the new key, deploy the application with it, then revoke the old key. Revoking is immediate and irreversible.","To rotate API keys without downtime, implement dual-key authentication temporarily, where both old and new keys are accepted. Gradually transition services to use the new key before decommissioning the old one.","To rotate API keys without causing downtime, follow these steps:

1. Generate a new API key through the Dashboard under **Developers → API Keys**.
2. Update your application's environment variable or secrets manager with the new key.
3. Deploy the updated configuration to ensure your application starts using the new key.
4. Confirm that the new key is working correctly and serving production traffic without issues.
5. Once you've verified that the new key is functioning properly, revoke the old key.

By following these steps, you can ensure a smooth transition from the old key to the new one without any service interruptions.","[""You can create multiple API keys per account and assign them different permission scopes. This allows you to rotate keys without downtime:"", ""Rotate your secret key immediately if you suspect it has been compromised. In the Dashboard under **Developers → API Keys**, you can issue a new key. After issuing the new key:"", ""- Never commit API keys to version control. Use environment variables or a secrets manager.\n- Use the principle of least privilege — scope keys to the minimum required operations.\n- Rotate keys every 90 days in high-security environments.\n- Monitor API key usage in the dashboard — unexpected spikes may indicate a compromised key.\n- Use different keys for different environments (development, staging, production)."", ""1. Update your application's environment variable or secrets manager entry.\n2. Deploy the updated configuration.\n3. Revoke the old key only after confirming the new key is serving production traffic successfully."", ""Always use an **idempotency key** on requests you intend to retry. This ensures that even if the original request succeeded and the response was lost in transit, retrying returns the original result rather than creating a duplicate. See `docs/guides/idempotency_guide.md`.""]",0.927,2.9,3.827,415,164,579,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.00079655,0.7493,0.0013026
Q031,semantic,guides/idempotency_guide.md; reference/architecture_overview.md; guides/error_handling_guide.md; guides/testing_guide.md,What happens if I submit the same idempotency key twice with different parameters?,The API returns HTTP 409 with error code idempotency_key_mismatch.,"If you submit the same idempotency key with different parameters, the system will likely accept the first request and ignore subsequent requests with the same key, regardless of parameter differences. This ensures operation safety but may lead to unexpected outcomes if the intention was to update or modify the initial request.","If you submit the same idempotency key twice with different parameters, the API will return an HTTP 409 status code along with the error code `idempotency_key_mismatch`. This indicates that there is a conflict because the parameters do not match those of the initial request associated with that idempotency key.","[""**Idempotency first.** Every write operation accepts an `idempotency_key` parameter. If the same key is submitted twice, the second request returns the result of the first without creating a duplicate. This is critical for payment systems where network failures can cause retries."", ""Always use an **idempotency key** on requests you intend to retry. This ensures that even if the original request succeeded and the response was lost in transit, retrying returns the original result rather than creating a duplicate. See `docs/guides/idempotency_guide.md`."", ""1. Generate the idempotency key **before** making the request.\n2. Store the key **before** sending the request (in case your process crashes mid-flight).\n3. Reuse the same key on every retry attempt for the same operation.\n4. Only generate a new key when you are intentionally starting a new operation."", ""If you submit an idempotency key that matches a previous request but with different parameters, the API returns HTTP 409 with error code `idempotency_key_mismatch`."", ""- [ ] Successful payment creates and stores a payment ID correctly\n- [ ] Declined payment surfaces an appropriate error message to the user\n- [ ] Retry with the same idempotency key returns the original result (not a new payment)\n- [ ] Refund creates correctly and fires `refund.succeeded` webhook\n- [ ] Webhook signature verification rejects tampered payloads\n- [ ] Webhook timestamp check rejects events older than 5 minutes\n- [ ] Duplicate webhook delivery is handled idempotently""]",1.354,1.73,3.084,533,128,661,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.0006419,0.7493,0.0013094
Q032,semantic,guides/reporting_guide.md; reference/endpoints.md; reference/pagination_filtering.md; guides/pagination_advanced.md; guides/api_versioning.md,How do I paginate through all succeeded EUR payments from Q1 2025?,"Use GET /payments with filters status=succeeded, currency=EUR, from=2025-01-01, to=2025-03-31, limit=100. Use the next_cursor from each response as starting_after until has_more is false.","To paginate through all succeeded EUR payments from Q1 2025, first use the API endpoint for filtering payments by currency (EUR) and date range (January 1, 2025, to March 31, 2025), then apply pagination parameters (like `page` and `per_page`) to navigate through the results. Refer to the ""Pagination"" section in the API documentation for specific parameter usage.","To paginate through all succeeded EUR payments from Q1 2025, you can use the `/payments` endpoint with the appropriate query parameters. Given the context of moving towards API version 2 (`v2`), which uses cursor-based pagination, your request should look something like this:

```plaintext
GET https://api.nexuspay.eu/v2/payments?status=succeeded&currency=EUR&from=2025-01-01&to=2025-03-31&limit=100
```

For each request, you will receive a response that includes a cursor for the next page if there are more results. You should continue making requests using the `starting_after` parameter with the value of the last cursor received until no more cursors are returned, indicating that you have fetched all the results.

Here is an example of how you might structure the request with cursor-based pagination:

Initial Request:
```plaintext
GET https://api.nexuspay.eu/v2/payments?status=succeeded&currency=EUR&from=2025-01-01&to=2025-03-31&limit=100
```

Subsequent Requests (using the cursor for pagination):
```plaintext
GET https://api.nexuspay.eu/v2/payments?status=succeeded&currency=EUR&from=2025-01-01&to=2025-03-31&limit=100&starting_after=<cursor_value>
```

Replace `<cursor_value>` with the actual cursor value provided in the previous response. Continue this process until you no longer receive a cursor in the response, indicating that you have retrieved all the payments.","[""# Example: fetch all EUR payments in June\npayments = fetch_all_payments({\n    \""currency\"": \""EUR\"",\n    \""created_after\"": \""2025-06-01T00:00:00Z\"",\n    \""created_before\"": \""2025-06-30T23:59:59Z\"",\n    \""status\"": \""succeeded\""\n})\n```"", ""```\nGET /payments?status=succeeded&currency=EUR&from=2025-01-01&to=2025-03-31&limit=100\n```"", ""**Step 2 — Retrieve individual payments for the same period:**\n```\nGET /payments?created_after=2025-06-01T00:00:00Z&created_before=2025-06-30T23:59:59Z&currency=EUR&status=succeeded\n```"", ""- [ ] Update base URL from `https://api.nexuspay.eu/v1` to `https://api.nexuspay.eu/v2`\n- [ ] Replace offset-based pagination with cursor-based pagination across all list calls\n- [ ] Ensure all `amount` fields are integers in the smallest currency unit\n- [ ] Test all flows in the sandbox with v2 endpoints before switching production traffic\n- [ ] Remove any code that reads `total_count` or `offset` from list responses (no longer present in v2)\n- [ ] Update SDK to a version that targets v2 (refer to your SDK's changelog)\n- [ ] Set a calendar reminder to complete migration before **2026-01-15**"", ""### GET /payments\nList payments. Supports pagination via `limit` (max 100, default 10) and `starting_after`.""]",2.096,8.528,10.624,600,460,1060,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.00221127,0.7493,0.002864
Q033,semantic,reference/authentication.md; reference/rate_limits.md,What scopes are available for API keys on Pro and Enterprise plans?,"payments:read, payments:write, refunds:write, subscriptions, reports:read, webhooks. Scoped keys are not available on Free or Starter plans.","For Pro and Enterprise plans, API keys can be configured with project-specific or global scopes. Project-specific scopes limit access to a single project, while global scopes allow access across all projects within the organization.","On Pro and Enterprise plans, API keys can be scoped to specific operations, allowing for more granular control over what actions the keys can perform.","[""On Pro and Enterprise plans, API keys can be scoped to specific operations:"", ""Scoped keys are not available on Free or Starter plans — those plans only support full-access keys."", ""You can create multiple API keys per account and assign them different permission scopes. This allows you to rotate keys without downtime:"", ""**Secret keys** have full API access: create payments, issue refunds, manage subscriptions, access reports. They must be stored securely on your server and never exposed to clients."", ""Regardless of plan, a single IP address is limited to 5,000 requests/minute across all API keys. This limit cannot be increased.""]",0.95,0.747,1.697,309,71,380,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.00035321,0.7493,0.000745
Q034,semantic,guides/payments_flow.md; guides/webhooks_guide.md; reference/architecture_overview.md; reference/authentication.md,How does NexusPay determine which environment a request goes to?,"By the API key prefix, not the URL. Keys starting with sk_test_ route to sandbox, sk_live_ to live — both use the same base URL.","NexusPay determines the target environment of a request based on the API endpoint URL used. Requests sent to endpoints with 'staging' in the URL are directed to the staging environment, while those with 'production' are sent to the production environment.","The provided context does not contain specific information about how NexusPay determines which environment (such as development, staging, production) a request goes to. To accurately answer this question, additional context or documentation regarding environment configuration or selection in NexusPay would be necessary.","[""NexusPay is a payment processing API designed for European businesses. It handles the full payment lifecycle: authorization, capture, settlement, refunds, and recurring billing through subscriptions."", ""When an event occurs, NexusPay sends an HTTP POST request to the URL you have configured in the Dashboard or via the Webhooks API. Your endpoint must respond with an HTTP `200` status code within 10 seconds to acknowledge delivery. If it does not, NexusPay retries delivery up to **5 times** using an exponential backoff schedule: 1 minute, 5 minutes, 30 minutes, 2 hours, and 8 hours after the initial attempt."", ""NexusPay uses API keys for authentication. There are two types:"", ""NexusPay authenticates requests using API keys passed in the HTTP `Authorization` header."", ""This guide walks through the complete end-to-end flow for accepting a card payment using NexusPay — from securely collecting card details on the frontend to confirming the payment result on the backend.""]",1.174,1.275,2.449,392,103,495,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.00050973,0.7493,0.001002
Q035,semantic,guides/customers_guide.md; reference/endpoints.md; guides/subscriptions_guide.md,What happens to active subscriptions if I delete a customer?,Deleting a customer does not cancel their active subscriptions. You must cancel subscriptions explicitly before deleting the customer.,"Deleting a customer record typically does not automatically cancel their active subscriptions; however, it can mark all associated subscriptions as inactive or under review, depending on the system's configuration. It's advisable to manually adjust subscription statuses or refer to the system's specific guidelines for handling such scenarios.","If you delete a customer with active subscriptions, the subscriptions do not get automatically canceled. They remain in the `active` or `trialing` state. Since the customer record no longer exists, any renewal charges will fail, leading to failed subscription payments and triggering `subscription.payment_failed` webhook events. Therefore, it's important to always cancel all active subscriptions before deleting a customer.","[""**Critical warning:** Deleting a customer object does **not** automatically cancel their active subscriptions. If a customer with active subscriptions is deleted:"", ""### GET /customers/:id\n### PUT /customers/:id\n### DELETE /customers/:id\nDeleting a customer does not cancel active subscriptions — cancel subscriptions first."", ""**Always cancel all active subscriptions before deleting a customer:**"", ""- The subscriptions remain in the `active` or `trialing` state.\n- Renewal charges will fail because the customer record no longer exists.\n- This results in failed subscription payments and `subscription.payment_failed` webhook events."", ""The subscription remains `active` until the end of the current billing period, then transitions to `cancelled`:""]",1.289,1.818,3.107,329,133,462,BAAI/bge-m3,Qwen/Qwen2.5-32B-Instruct-AWQ,0.00064669,0.7493,0.0010458
